step,total_ms,pde_ms,qsp_ms,abm_ms
0,364.231,23.9797,130.508,209.743
1,588.127,35.5702,12.6842,539.872
2,288.892,32.9798,10.8803,245.032
3,263.922,31.8124,10.6772,221.432
4,324.033,31.6608,19.5791,272.793
5,292.57,30.9881,10.5083,251.074
6,292.779,32.4411,10.1528,250.186
7,299.026,31.8924,9.1847,257.949
8,294.178,30.8797,21.6219,241.677
9,277.642,32.3557,9.93606,235.35
10,264.358,31.925,15.7847,216.649
11,299.772,31.8052,10.1109,257.856
12,298.131,35.6967,23.5238,238.91
13,278.618,32.214,14.1297,232.274
14,275.489,31.6451,16.4127,227.431
15,312.087,31.7307,15.964,264.392
16,311.887,32.954,21.8255,257.108
17,318.857,31.971,16.0126,270.873
18,302.811,31.4161,16.4942,254.901
19,321.2,38.2286,17.8295,265.142
20,291.959,39.8638,21.6263,230.469
21,315.364,38.2246,14.8739,262.265
22,285.948,35.0173,19.4962,231.434
