step,total_ms,pde_ms,qsp_ms,abm_ms
0,333.766,17.9821,131.86,183.924
1,540.722,24.8941,11.8332,503.995
2,218.98,23.2041,10.2446,185.531
3,200.515,26.7723,10.154,163.588
4,240.273,25.7901,19.318,195.164
5,228.567,25.3744,10.6704,192.522
6,205.625,24.4451,12.0345,169.146
7,189.632,16.8238,10.8469,161.962
8,222.007,30.2951,21.6516,170.061
9,213.286,25.75,15.9345,171.601
10,198.117,17.4886,17.7186,162.91
11,216.318,25.6655,17.2347,173.418
12,202.243,19.4408,17.2949,165.508
13,189.659,16.9781,17.672,155.009
14,198.559,16.6009,11.5841,170.374
15,198.937,26.8037,17.2291,154.904
16,211.44,17.0669,23.4484,170.924
17,214.058,25.4655,17.8219,170.77
18,199.48,25.6269,10.8341,163.019
19,190.508,16.2466,18.443,155.819
20,187.81,16.1594,19.6689,151.982
21,181.172,15.8214,10.1396,155.211
22,205.667,16.4288,16.478,172.76
