Rh_nm,D_cm2s
"1.9814032484081816, 0.0000012534035623573024",
"2.2493511276561966, 0.0000010632997435985002",
"2.7445957547479463, 7.886694600434257e-7",
"3.993368810776817, 5.186322518931755e-7",
"5.742556956349221, 3.61826823214346e-7",
"10.135423872025562, 1.8188388178925276e-7",
"11.707364155893258, 1.3680678376860487e-7",
"16.70141839310452, 8.201354539906209e-8",
"18.972541626233998, 6.944048204548908e-8",
"21.027602460994665, 6.205825890088886e-8",
"24.586501132332476, 5.064920579615654e-8",
"28.263903960025306, 4.12228061628073e-8",
"32.10989557670363, 3.5252339213428826e-8",
"35.66687253715517, 3.088719052073343e-8",
"47.73105635024399, 2.0217105809680593e-8",
"51.686522827444726, 1.798009087314256e-8",
