Rh_nm,D_cm2s
"2.000691764322943, 0.000001962095883674251",
"2.3273444887831687, 0.0000016621040181181144",
"2.6187626199645826, 0.000001462295204001224",
"3.548183235402813, 0.0000010436092474390837",
"4.01211489773639, 9.313266444330145e-7",
"4.583416042684508, 8.087675551416715e-7",
"5.227877370463098, 7.181618221300331e-7",
"5.983825043473625, 6.382461781062086e-7",
"6.8370941169757575, 5.666357513348422e-7",
"7.354213098921819, 5.444605852348413e-7",
"9.955333327992957, 4.0894990221964923e-7",
"14.667238555230286, 2.792570837675287e-7",
"17.373777833063485, 2.3081554366320282e-7",
"26.119082279626262, 1.5477598913565754e-7",
"39.81303731231624, 9.853997237755498e-8",
"49.2922361962625, 7.627167884786387e-8",
"55.65372516351869, 6.668744675573555e-8",
"60.67784794152114, 6.161747599313217e-8",
