step,total_ms,pde_ms,qsp_ms,abm_ms
0,1049.35,154.717,131.138,763.495
1,1227.8,154.415,12.1615,1061.22
2,1091.13,153.987,13.5009,923.64
3,1189.23,153.419,9.3272,1026.48
4,1216.51,154.041,18.8732,1043.6
5,1216.63,153.401,12.1112,1051.12
6,1125.46,153.033,12.582,959.849
7,1208.12,152.372,13.2329,1042.52
8,1270.68,152.761,19.9743,1097.95
9,1271.06,153.349,14.2895,1103.42
10,1236.48,153.117,13.8567,1069.5
11,1217.65,150.787,14.1463,1052.72
12,1203.81,151.006,19.7036,1033.1
13,1291.97,153.096,16.4422,1122.43
14,1230.15,152.863,17.962,1059.33
15,1123.49,152.95,17.2473,953.295
16,1025.23,152.5,21.7991,850.928
17,1145.19,153.211,15.2679,976.714
18,1231.98,151.628,14.0813,1066.27
19,1239.81,151.569,14.6515,1073.59
20,1321.81,152.562,19.5571,1149.69
21,1044.86,152.853,14.7296,877.274
22,1280.73,153.425,16.5928,1110.71
