donor,region,roi,n_cells_total,area_mm2,density_cd4_t,density_cd8_t,density_b_cell,density_macrophage,density_mdsc,density_other_immune,density_fibroblast,density_endothelial,has_septa,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-005,Body of pancreas,ROI2,2773,0.9942,1.01,5.03,2.01,2.01,370.14,412.38,0.0,376.17,True,,,,,,,253.1,403.9,130.4,10.4,,260.1,628.5,230.2,18.9,,62.7,230.2,967.5,28.3,,218.3,337.0,354.3,20.2,,21.2,19.6,19.1,,190.8,350.0,351.2,18.3,20.4,24.5,,,,,,,,,,,,,,,48.9,54.6,125.4,,,,,,,60.4,107.8,174.6,69.0,123.4,186.0,33.1,94.0,165.1,,48.0,18.2,40.6,24.3,,248.9,332.8,399.4,23.2,20.6,23.7,26.2,,,,,,,
HPAP-005,Body of pancreas,ROI3,2055,0.9964,0.0,2.01,1.0,24.09,175.63,613.19,0.0,462.66,True,,,,,,,519.6,,155.9,10.8,,,,,,,304.1,,84.5,21.7,,448.7,,134.4,15.2,,23.6,,43.1,,455.3,,141.5,29.3,15.2,30.3,,,,,,,,,,,,,,,,,,,,,81.2,133.8,240.3,63.6,120.1,193.0,52.9,109.6,172.6,47.2,113.3,184.6,,39.4,,20.1,20.6,,421.2,,116.9,18.3,16.6,20.8,33.3,,,,,,,
HPAP-005,Head of pancreas,ROI1,4842,0.9962,0.0,10.04,10.04,63.24,33.13,747.87,1024.93,0.0,True,,,,,,,130.6,154.7,35.8,13.8,,111.5,164.7,80.4,16.3,,170.9,135.4,46.4,16.0,,154.9,142.6,64.2,16.7,,108.4,61.6,92.2,,191.8,134.3,56.2,80.4,20.2,82.3,,18.0,15.8,16.1,14.9,,165.8,155.7,63.2,16.6,13.2,,,,281.1,370.9,389.8,253.6,330.2,381.4,95.6,245.9,382.9,162.0,291.8,420.8,163.0,310.8,452.9,,,,,,,,,,,,,,,,,98.2,279.5,428.7,17.7,88.9,,
HPAP-005,Head of pancreas,ROI2,3493,0.9944,1.01,5.03,4.02,44.25,27.15,1832.19,0.0,249.39,True,,,,,,,141.7,105.1,86.6,12.4,,142.9,207.0,55.4,18.3,,204.8,252.2,64.3,12.8,,206.8,260.4,80.7,12.2,,111.3,86.6,62.5,,202.4,149.4,55.6,64.5,12.5,105.4,,,,,,,,,,,,,,,125.2,132.9,168.7,178.5,208.0,234.0,55.2,190.6,244.4,115.7,193.0,276.5,149.5,216.1,276.7,242.3,302.5,356.3,,69.0,16.3,63.0,60.4,,245.6,178.9,81.5,22.5,11.9,43.3,90.8,,,,,,,
HPAP-005,Head of pancreas,ROI3,1987,0.9935,2.01,21.14,3.02,2.01,118.78,904.92,0.0,318.08,True,302.5,20.9,387.9,149.3,40.8,147.7,59.4,368.2,158.0,18.0,428.6,139.4,697.6,491.4,11.0,146.7,34.8,433.5,289.7,81.0,525.4,165.3,246.7,603.8,14.6,74.4,58.8,65.9,47.1,637.5,174.2,257.7,679.8,33.1,15.2,45.1,,,,,,,,,,,,,,,139.5,248.1,533.1,261.4,297.8,603.0,,,,227.6,424.8,658.3,238.2,563.4,710.7,295.7,504.1,688.7,90.4,76.2,10.8,139.5,25.6,574.3,165.2,254.4,633.4,14.8,22.2,24.1,47.3,,,,,,,
HPAP-005,Tail of pancreas,ROI1,385,0.98,2.04,5.1,5.1,12.24,188.77,20.41,0.0,0.0,True,589.1,209.4,227.4,132.1,226.8,311.0,302.3,160.0,136.7,134.5,280.3,160.0,101.9,154.9,150.4,210.1,184.4,219.9,113.5,125.8,497.0,202.4,191.1,136.8,65.9,27.5,32.5,29.0,35.9,305.7,215.1,190.9,138.1,30.3,98.9,33.3,,,,,,,,,,,,,,,101.0,115.9,213.0,133.7,213.1,238.9,42.0,189.8,355.5,18.8,67.0,268.0,80.1,198.8,319.8,,,,,,,,,,,,,,,,,,,,,,,
HPAP-005,Tail of pancreas,ROI2,356,0.9802,2.04,6.12,1.02,5.1,149.98,5.1,0.0,87.74,True,421.9,222.3,,294.9,281.9,421.0,208.4,,149.7,296.9,,,,,,366.4,219.6,,369.1,145.5,329.3,291.2,,224.6,147.3,50.6,30.1,,14.2,345.7,241.1,,198.8,34.3,170.4,25.6,,,,,,,,,,,,,,,108.6,155.7,204.6,,,,75.7,114.3,190.0,65.3,106.2,112.3,66.7,120.7,178.6,27.9,102.4,201.4,90.7,68.8,,39.3,20.8,339.1,259.2,,174.1,159.5,39.3,41.1,32.7,,,,,,,
HPAP-006,Body of pancreas,ROI4,837,0.9794,14.29,37.78,45.94,27.57,2.04,216.45,0.0,0.0,True,62.4,40.1,54.6,99.9,31.2,78.1,60.5,59.4,76.9,26.2,130.8,92.3,30.3,89.0,28.4,214.6,89.1,146.1,83.8,24.3,166.5,76.9,91.8,80.7,25.0,414.8,313.0,451.2,346.5,130.2,193.5,77.3,177.9,788.4,87.5,360.8,,,,,,,,,,,,27.8,121.9,217.6,27.9,67.1,163.7,110.4,166.1,229.1,30.4,102.3,171.7,49.4,117.0,185.4,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Body of pancreas,ROI5,1310,0.9873,11.14,19.24,3.04,30.39,1.01,536.83,0.0,84.07,True,45.9,129.3,77.3,144.0,26.6,147.1,36.7,175.6,179.1,21.0,70.9,63.5,423.4,84.6,16.9,229.9,134.7,433.3,78.5,17.6,246.4,215.6,366.6,87.0,16.9,,,,,,,,,,,,,,,,,,,,,,,154.3,221.7,325.3,102.0,144.6,191.9,162.8,193.4,231.9,30.8,122.5,263.9,96.5,167.9,294.3,,,,182.7,283.6,353.2,66.3,65.2,75.1,83.4,69.8,173.4,269.8,306.7,101.6,25.1,24.9,,,,,,,,,
HPAP-006,Body of pancreas,ROI6,1104,0.993,11.08,30.21,13.09,41.29,10.07,563.97,0.0,12.09,True,157.1,94.2,112.1,88.5,19.4,148.3,51.4,175.8,77.2,21.3,136.4,96.1,187.3,91.3,16.8,136.7,129.5,168.6,59.3,16.8,152.1,98.6,140.7,83.4,18.2,172.7,130.8,172.9,229.0,104.6,55.6,107.1,77.9,145.5,26.7,181.4,,,,,,,,,,,,227.4,263.0,405.6,133.4,228.0,343.5,143.5,170.2,251.8,21.5,121.0,214.2,87.1,155.1,274.5,249.5,379.5,483.6,232.9,250.5,264.2,261.8,247.5,486.7,338.3,410.0,116.7,78.8,69.1,160.4,47.0,16.0,234.3,157.6,,,,,,,
