donor,region,roi,n_cells_total,area_mm2,density_cd4_t,density_cd8_t,density_b_cell,density_macrophage,density_mdsc,density_other_immune,density_fibroblast,density_endothelial,has_septa,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-011,Head of pancreas,ROI2,570,0.9811,0.0,16.31,4.08,213.02,0.0,0.0,0.0,61.15,True,,,,,,,153.0,254.4,31.5,,,102.5,329.2,46.6,,,110.0,317.8,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3,175.9,288.0,128.0,203.5,284.5,184.1,302.4,471.3,,,,,,,97.6,176.2,285.3,,64.1,83.4,59.7,,,99.1,272.1,27.8,,42.9,,,,,,,,,
HPAP-011,Head of pancreas,ROI3,675,0.9729,0.0,180.9,63.72,244.62,0.0,0.0,42.14,0.0,True,,,,,,,29.9,54.0,34.7,,,33.8,52.2,27.5,,,36.7,56.3,26.1,,,,,,,,,,,,,,,,,,,71.7,71.6,67.8,,,30.4,49.7,26.6,,78.4,,,,24.5,59.1,117.4,14.6,52.7,111.8,14.6,69.3,135.4,,,,,,,,,,,,,,,,,,,,,,,14.9,62.0,130.2,,,,
HPAP-011,Tail of pancreas,ROI1,661,0.9709,1.03,1.03,197.75,41.2,2.06,80.34,0.0,0.0,True,,,,,,,,,,,,,21.0,73.8,42.7,,,39.9,36.5,55.0,,,22.3,70.6,38.0,,,289.7,364.2,,,16.7,94.1,108.0,33.3,299.2,,,,,,,,,,,,,,,,,,100.7,223.0,295.9,59.9,252.4,324.4,55.1,133.2,264.3,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-011,Tail of pancreas,ROI2,919,1.1885,0.0,18.51,140.52,98.45,1.68,91.72,0.0,0.0,True,,,,,,,34.4,19.2,29.9,49.1,,126.6,27.5,40.5,36.1,,166.5,30.7,30.3,41.8,,192.3,31.8,37.8,41.8,,288.7,273.7,336.3,,284.0,67.8,115.5,1023.0,75.1,315.5,,,,,,,,,,,,,,,34.4,117.5,194.1,56.1,112.4,207.0,62.8,131.5,199.1,45.3,106.7,209.6,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-011,Tail of pancreas,ROI3,1290,1.1888,2.52,19.35,258.25,196.84,10.09,226.29,0.0,49.63,True,32.6,22.6,11.7,11.0,12.9,129.5,48.6,15.5,25.5,17.5,198.5,81.2,16.0,26.4,17.8,253.3,99.3,23.8,15.1,25.9,252.9,98.7,17.5,30.5,20.5,27.1,65.8,394.0,217.2,122.0,42.0,15.5,25.4,37.3,15.0,328.2,,,,,,,,,,,,7.7,12.5,27.2,24.5,71.0,132.3,55.2,124.5,197.1,79.3,138.9,208.4,58.2,141.2,220.3,7.3,17.6,103.8,31.2,98.6,205.3,134.0,82.0,129.3,120.5,122.7,257.2,137.6,35.0,52.5,33.4,15.9,51.4,142.4,,,,,,,
HPAP-012,Body of pancreas,ROI1,977,0.9977,1.0,2.0,13.03,19.04,0.0,360.83,0.0,24.06,True,,,,,,,50.6,482.8,71.4,17.3,,827.0,30.2,49.6,17.7,,473.9,210.6,109.7,22.4,,552.6,252.4,107.1,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5,346.3,438.5,464.3,652.0,786.9,352.5,558.2,759.5,,,,560.7,725.7,798.5,,50.0,166.6,76.2,108.2,,464.3,225.0,94.7,24.2,105.0,,,,,,,,,
HPAP-012,Body of pancreas,ROI2,1235,0.9932,0.0,0.0,4.03,17.12,0.0,397.71,0.0,0.0,True,,,,,,,,,,,,,130.6,108.1,17.5,,,303.0,144.6,19.7,,,299.1,100.3,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.5,413.7,534.0,136.7,318.1,517.9,197.4,312.1,463.7,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-012,Body of pancreas,ROI3,2035,0.9942,0.0,0.0,1.01,21.12,0.0,44.26,552.22,0.0,False,,,,,,,,,,,,,,,,,,,78.4,71.4,,,,119.9,55.0,,,,,,,,,,,,,,,21.6,20.7,,,,121.0,76.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-012,Head of pancreas,ROI1,4911,1.1449,5.24,6.11,226.23,104.82,0.87,930.25,727.6,0.0,True,142.7,226.2,61.0,32.6,10.8,200.6,139.9,48.4,63.3,11.3,139.0,140.2,11.1,44.3,13.3,172.5,203.4,60.1,33.2,14.3,194.5,193.6,38.6,49.7,12.2,,,,,,,,,,,,16.2,30.9,46.7,19.0,25.3,226.9,328.7,112.1,54.6,19.3,13.8,286.3,304.7,350.9,313.8,446.5,500.2,360.9,401.0,447.3,176.9,283.6,378.5,221.8,325.6,414.3,,,,,,,,,,,,,,,,,,,,89.3,172.7,285.6,,,,
HPAP-012,Head of pancreas,ROI2,1600,0.9895,0.0,321.36,109.14,42.44,0.0,0.0,394.13,0.0,True,,,,,,,17.9,58.6,62.4,,,26.7,28.3,94.3,,,18.6,85.6,42.1,,,,,,,,,,,,,,,,,,,28.6,22.3,34.9,,,30.4,44.1,108.3,,15.5,,,,14.4,62.5,142.5,59.6,110.0,310.4,4.0,16.6,129.0,,,,,,,,,,,,,,,,,,,,,,,82.5,262.6,395.0,,,,
HPAP-012,Head of pancreas,ROI3,4715,0.9977,4.01,13.03,60.14,111.25,0.0,2052.65,564.28,0.0,True,260.9,76.9,128.4,52.3,8.6,158.0,176.8,105.4,36.9,11.7,221.7,139.4,24.1,56.9,11.0,259.7,126.2,111.4,34.0,12.1,235.1,130.8,94.0,47.9,10.9,,,,,,,,,,,,21.3,21.8,38.2,18.4,21.9,207.6,128.6,96.0,45.3,11.5,15.4,10.8,115.6,246.4,30.4,133.0,219.9,165.4,272.0,336.1,90.8,180.2,268.2,103.3,192.3,286.1,,,,,,,,,,,,,,,,,,,,115.1,199.3,288.4,,,,
HPAP-012,Tail of pancreas,ROI1,3573,0.9967,2.01,12.04,6.02,71.24,0.0,1397.66,0.0,0.0,True,603.2,72.7,250.5,28.6,10.8,125.5,114.4,265.3,26.9,17.5,225.1,127.2,136.6,27.6,11.1,286.3,129.9,203.4,44.7,13.5,416.5,225.0,219.3,57.1,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,168.7,309.2,165.8,275.2,381.9,110.9,230.2,392.6,161.0,271.1,389.6,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-012,Tail of pancreas,ROI2,2013,0.9967,2.01,9.03,1.0,121.4,0.0,1018.36,0.0,70.23,True,329.4,148.0,,11.4,9.9,498.4,101.8,,28.5,13.1,,,,,,569.7,136.6,,31.2,18.1,429.4,167.1,,47.6,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,68.6,106.5,,,,17.5,54.1,133.6,55.4,130.6,264.4,,,,100.2,140.3,190.2,107.6,225.0,,203.8,114.2,407.4,143.4,,66.0,27.6,14.4,,,,,,,,,
HPAP-012,Tail of pancreas,ROI3,3286,0.9938,0.0,7.04,41.26,74.46,0.0,1463.11,0.0,105.66,True,,,,,,,193.0,105.7,61.8,10.7,,131.7,27.4,59.6,10.3,,165.6,103.0,33.6,13.3,,191.9,98.3,58.7,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,84.4,191.9,473.2,146.1,281.2,654.2,209.4,404.4,553.0,238.0,474.5,660.0,,,,541.6,722.4,815.0,,82.9,99.1,62.4,62.8,,228.2,134.3,78.7,15.3,33.5,,,,,,,,,
HPAP-014,Body of pancreas,ROI1,424,0.9742,2.05,6.16,0.0,30.8,0.0,198.12,0.0,21.56,True,359.2,169.4,,174.5,60.4,418.0,131.5,,72.3,17.9,,,,,,466.2,179.8,,39.1,19.8,392.6,191.0,,88.4,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,72.8,162.6,,,,19.7,65.5,177.7,42.0,132.4,203.2,,,,125.1,176.1,186.9,125.0,239.8,,294.2,249.3,452.5,263.2,,35.3,31.7,18.1,,,,,,,,,
HPAP-014,Body of pancreas,ROI2,2595,0.992,5.04,26.21,3.02,81.65,0.0,1233.88,0.0,0.0,False,159.0,97.5,326.5,32.3,15.0,188.2,94.6,215.6,42.9,14.3,270.6,41.3,171.6,23.7,12.5,224.2,89.2,202.4,44.7,13.4,256.8,98.5,215.5,44.1,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-014,Body of pancreas,ROI3,452,0.9927,1.01,9.07,0.0,23.17,0.0,151.1,0.0,0.0,True,,,,,,,175.5,,134.6,40.5,,,,,,,138.6,,59.3,17.1,,153.9,,83.5,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,261.4,451.0,653.0,,,,314.7,378.6,539.5,179.8,358.7,676.7,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-014,Head of pancreas,ROI1,973,0.9809,3.06,9.18,2.04,29.56,0.0,430.21,0.0,32.62,True,209.5,311.7,388.5,33.4,15.6,352.7,84.9,120.4,107.2,26.0,315.2,14.3,177.2,92.2,54.3,360.1,240.1,364.0,85.4,20.2,301.5,227.3,354.1,88.0,17.2,,,,,,,,,,,,,,,,,,,,,,,68.7,127.3,141.8,65.9,222.4,314.2,,,,20.9,69.5,134.9,63.3,132.7,247.0,,,,117.7,361.7,400.1,364.5,172.2,136.3,248.8,264.3,405.5,191.3,224.8,153.4,38.6,17.5,,,,,,,,,
HPAP-014,Head of pancreas,ROI2,439,0.9703,0.0,11.34,1.03,10.31,0.0,175.2,0.0,0.0,True,,,,,,,29.3,,109.6,30.6,,,,,,,83.2,,188.4,21.5,,187.3,,139.3,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,116.6,240.4,279.4,,,,150.1,271.4,421.3,163.5,241.1,334.8,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-014,Head of pancreas,ROI3,994,0.9837,2.03,14.23,7.12,48.8,0.0,541.83,118.94,0.0,True,411.9,189.8,458.0,78.3,18.2,455.8,105.5,175.2,103.3,20.1,437.0,143.5,93.5,124.7,15.4,336.9,163.5,312.5,43.5,20.8,377.6,138.0,271.2,73.8,14.8,,,,,,,,,,,,68.0,29.6,53.9,36.9,42.2,525.9,134.8,208.4,71.2,19.2,34.2,,,,28.0,140.6,259.5,186.2,377.9,411.3,13.3,27.5,99.5,22.8,72.0,215.0,,,,,,,,,,,,,,,,,,,,41.0,107.0,244.1,,,,
HPAP-014,Tail of pancreas,ROI1,2223,0.9913,1.01,49.43,1.01,219.91,0.0,852.39,0.0,514.46,True,,,,,,,45.0,,25.5,18.7,,,,,,,68.0,,18.2,14.4,,65.5,,29.4,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,210.5,270.2,,,,95.2,208.6,273.1,103.4,185.4,282.5,,,,49.7,140.9,242.5,,23.6,,21.8,24.1,,82.9,,39.8,20.7,13.4,,,,,,,,,
HPAP-014,Tail of pancreas,ROI2,1736,0.9907,0.0,19.18,6.06,72.68,0.0,456.25,0.0,467.35,True,,,,,,,111.7,217.6,60.0,24.5,,100.6,64.3,43.0,13.0,,141.7,271.1,23.9,23.0,,93.6,198.2,58.2,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,180.3,267.1,348.9,192.4,370.7,395.4,23.7,173.2,343.2,97.7,210.8,329.3,,,,123.5,240.7,356.5,,20.3,32.7,22.4,22.8,,105.6,191.0,63.6,21.5,16.7,,,,,,,,,
HPAP-014,Tail of pancreas,ROI3,771,0.9922,18.14,80.63,2.02,140.09,0.0,121.95,0.0,0.0,True,46.7,32.1,377.0,22.3,54.9,93.6,28.5,342.8,26.0,32.5,110.6,46.1,293.4,45.8,23.2,75.2,35.5,346.1,21.0,43.1,157.1,47.4,405.0,38.6,24.2,,,,,,,,,,,,,,,,,,,,,,,10.1,24.4,30.6,10.0,19.6,28.0,,,,9.1,14.8,23.0,7.0,15.1,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI1,3489,0.9941,0.0,21.12,4.02,38.22,0.0,2137.57,0.0,0.0,False,,,,,,,139.5,282.5,107.4,12.4,,30.8,98.0,46.8,13.2,,106.9,352.8,76.3,13.0,,103.0,318.7,77.6,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI2,2872,0.9951,0.0,28.14,9.04,32.16,0.0,1594.85,0.0,0.0,False,,,,,,,94.8,172.3,95.3,14.1,,62.6,83.7,66.7,9.4,,103.5,197.4,60.2,14.4,,91.7,215.7,94.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI3,1533,0.9911,0.0,0.0,0.0,0.0,0.0,0.0,156.39,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Head of pancreas,ROI1,4313,0.9953,2.01,93.44,19.09,42.2,0.0,2942.73,35.16,0.0,True,261.8,14.6,28.9,110.3,11.0,135.9,21.3,75.5,59.8,11.0,146.3,36.9,67.3,100.9,9.4,539.8,57.2,205.2,58.6,10.8,532.7,71.4,154.9,80.9,11.0,,,,,,,,,,,,453.2,420.6,325.3,169.6,172.9,548.6,112.6,208.3,153.2,12.8,20.8,,,,448.9,660.7,780.9,501.5,632.2,678.8,161.2,264.4,557.9,197.4,347.2,545.2,,,,,,,,,,,,,,,,,,,,345.2,414.7,459.5,,,,
HPAP-018,Head of pancreas,ROI2,3869,0.9948,2.01,86.45,21.11,85.44,0.0,2221.5,0.0,0.0,True,624.9,64.3,157.1,42.3,10.2,269.8,35.4,74.9,46.4,11.8,261.1,55.3,110.1,59.7,11.3,276.4,47.4,89.6,37.0,12.6,303.6,54.6,108.2,55.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,214.1,279.5,369.9,156.1,257.4,314.1,187.6,292.2,400.5,191.1,300.2,387.0,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Tail of pancreas,ROI4,1820,0.993,0.0,15.11,1.01,4.03,0.0,188.32,0.0,0.0,True,,,,,,,88.1,,316.2,26.5,,,,,,,67.9,,95.7,25.0,,116.1,,251.5,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,84.4,150.8,,,,100.2,131.8,139.6,47.7,107.3,198.8,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Tail of pancreas,ROI5,1814,0.923,0.0,10.83,0.0,6.5,0.0,548.22,0.0,0.0,True,,,,,,,123.6,,111.6,19.0,,,,,,,62.4,,297.2,21.3,,154.8,,169.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,157.3,218.8,327.3,,,,51.3,175.6,288.5,55.4,151.4,280.2,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Head of pancreas,ROI1,493,0.9484,0.0,0.0,0.0,192.95,0.0,3.16,0.0,0.0,True,,,,,,,,,,,,,,,,,,,28.3,224.4,,,,93.1,421.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,120.6,230.4,52.3,100.4,163.4,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Head of pancreas,ROI2,526,0.9847,5.08,10.16,6.09,82.26,0.0,133.03,0.0,107.64,True,288.8,154.6,345.3,101.3,23.5,161.8,98.6,214.9,79.2,34.6,275.6,206.3,191.9,91.4,42.5,290.6,185.1,254.1,32.3,31.1,337.9,257.4,187.9,59.5,33.9,,,,,,,,,,,,,,,,,,,,,,,215.2,310.8,567.1,241.2,432.5,551.8,99.5,218.5,346.7,30.6,199.4,286.2,58.8,145.0,246.3,,,,95.8,151.3,299.3,104.3,75.2,74.6,86.2,77.4,307.2,282.1,203.9,73.7,48.8,18.9,,,,,,,,,
HPAP-026,Head of pancreas,ROI3,2353,1.4281,8.4,18.91,15.41,275.9,0.0,438.36,0.0,0.0,True,142.7,113.5,96.2,15.8,17.3,132.8,84.7,105.8,25.7,14.9,142.5,93.3,66.7,25.0,16.3,166.4,113.5,139.8,20.8,24.5,127.6,81.7,106.3,30.4,15.4,,,,,,,,,,,,,,,,,,,,,,,84.6,347.6,554.6,151.0,406.6,485.8,132.4,269.3,544.9,98.9,197.2,395.9,103.5,295.4,467.6,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Tail of pancreas,ROI1,2414,0.9914,14.12,76.66,3.03,1543.24,0.0,71.61,0.0,118.01,True,134.9,61.2,318.7,15.9,46.5,117.3,32.1,147.9,13.4,54.9,133.7,33.7,379.4,15.5,45.1,137.0,57.4,262.9,12.7,61.9,116.2,55.1,220.4,14.1,43.0,,,,,,,,,,,,,,,,,,,,,,,89.0,183.2,215.2,80.4,158.3,363.9,114.1,160.0,350.6,79.5,185.3,441.6,46.6,157.7,472.9,,,,66.1,134.1,177.8,114.6,76.9,102.8,83.6,82.1,133.5,74.2,267.5,23.5,71.6,15.5,,,,,,,,,
HPAP-026,Tail of pancreas,ROI2,1682,0.9857,2.03,3.04,1.01,676.67,0.0,51.74,0.0,0.0,True,367.2,365.7,,31.9,40.0,299.1,43.2,,46.8,21.1,,,,,,405.9,576.8,,14.9,129.1,315.1,317.7,,20.1,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,13.0,65.3,,,,43.3,120.1,178.8,20.6,82.3,156.1,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Tail of pancreas,ROI3,1412,1.195,16.74,25.94,21.76,274.49,0.84,210.05,0.0,53.56,True,49.0,94.8,73.1,24.8,29.6,137.4,118.3,100.1,26.3,23.8,149.5,73.1,119.3,28.6,23.9,138.1,84.3,99.3,22.3,37.0,126.3,83.9,90.9,31.7,25.5,,,,,,,,,,,,,,,,,,,,,,,37.5,152.9,206.8,84.3,184.0,291.5,124.5,237.9,286.4,46.1,122.0,259.0,60.0,137.2,244.7,,,,70.7,156.2,215.4,93.9,107.9,79.5,99.4,108.6,135.2,127.7,108.4,41.6,50.9,29.6,,,,,,,,,
HPAP-027,Body of pancreas,ROI1,2251,0.9943,9.05,48.27,59.34,366.08,74.42,303.72,0.0,0.0,True,160.0,33.7,77.4,24.1,28.4,113.2,54.5,65.1,28.5,25.5,160.4,67.3,35.5,27.2,27.3,281.0,83.0,74.3,15.0,31.0,121.7,62.6,59.9,26.5,17.9,48.0,47.9,56.0,75.9,91.9,42.9,54.3,24.2,23.6,19.4,52.9,,,,,,,,,,,,122.5,166.8,194.5,14.7,77.6,119.7,68.6,98.9,146.8,11.0,59.7,163.0,39.8,89.2,174.6,41.3,72.2,151.0,,,,,,,,,,,,,,,,,,,,,,,
HPAP-027,Body of pancreas,ROI2,926,0.9922,4.03,29.23,71.56,116.91,3.02,241.89,0.0,0.0,True,151.9,42.3,54.7,29.4,38.3,206.5,57.2,55.9,49.0,25.9,294.5,93.0,30.7,76.2,28.1,237.3,101.9,71.1,30.5,48.4,224.8,93.6,58.1,62.2,22.7,148.6,332.5,243.9,265.1,184.2,71.5,63.1,54.7,456.1,26.2,255.7,,,,,,,,,,,,7.8,11.9,31.3,12.6,31.4,75.5,47.7,89.3,225.9,9.2,18.4,87.4,30.9,66.0,153.9,91.7,161.5,202.7,,,,,,,,,,,,,,,,,,,,,,,
HPAP-027,Body of pancreas,ROI3,2022,0.992,5.04,31.25,47.38,133.06,29.23,607.86,0.0,143.14,True,113.0,46.9,75.6,17.2,16.3,188.1,47.3,74.0,28.1,19.4,291.5,91.0,69.8,51.3,24.2,234.1,90.9,79.8,33.2,19.6,253.3,98.9,74.3,41.3,15.4,91.0,111.4,73.4,104.7,252.3,108.1,66.0,31.4,57.8,16.9,97.4,,,,,,,,,,,,21.2,32.0,63.7,7.8,63.3,179.6,44.3,104.8,188.2,21.4,81.4,174.5,29.9,79.8,149.1,63.9,108.7,188.1,34.6,82.8,152.8,50.9,36.6,36.5,43.4,37.9,248.8,105.4,65.8,47.0,17.3,31.6,38.2,76.1,,,,,,,
HPAP-027,Head of pancreas,ROI1,980,0.9889,4.04,221.46,2.02,409.55,0.0,9.1,0.0,94.04,True,100.0,15.0,370.4,24.4,109.3,260.7,22.3,351.0,24.4,153.6,374.5,34.4,373.7,19.5,153.6,305.0,33.5,355.8,16.1,178.9,306.3,26.0,279.2,37.7,184.2,,,,,,,,,,,,,,,,,,,,,,,48.8,67.0,110.9,76.7,182.7,335.0,,,,61.7,130.6,303.0,41.7,60.2,132.4,,,,105.5,157.2,261.7,69.6,77.2,27.1,82.4,58.8,425.5,43.2,358.3,32.4,171.6,16.5,,,,,,,,,
HPAP-027,Head of pancreas,ROI2,990,0.988,14.17,289.46,17.21,112.34,31.38,85.02,181.17,0.0,True,80.3,19.6,77.9,44.7,34.4,85.6,18.4,68.0,33.9,39.6,90.3,17.0,149.3,45.3,44.9,96.8,23.0,82.9,29.1,49.3,89.3,27.0,93.1,39.0,37.1,79.0,62.0,63.5,66.3,90.6,19.0,78.4,26.0,48.7,33.4,66.2,29.8,30.6,35.9,32.3,36.4,105.3,25.3,109.9,45.4,45.1,29.8,10.2,42.7,66.7,9.9,32.7,154.6,6.3,29.2,87.8,8.1,36.7,154.5,14.4,82.1,250.0,10.6,49.7,210.7,,,,,,,,,,,,,,,,,11.6,85.4,208.4,40.1,88.2,,
HPAP-027,Head of pancreas,ROI3,1437,0.9928,55.4,253.83,29.21,159.15,61.44,179.29,0.0,0.0,True,56.3,19.2,108.2,38.9,27.4,55.8,24.8,107.3,40.2,34.5,94.5,33.3,45.0,37.7,43.4,61.5,30.0,154.6,25.6,37.9,53.4,28.7,110.0,39.7,24.6,45.5,62.5,120.6,69.2,54.8,24.8,124.1,36.9,34.0,32.8,64.0,,,,,,,,,,,,55.7,102.0,181.8,55.8,108.3,175.1,20.5,39.6,99.5,15.3,68.0,117.9,49.1,88.9,166.2,88.8,128.3,196.4,,,,,,,,,,,,,,,,,,,,,,,
HPAP-034,Body of pancreas,ROI1,2600,0.9664,1.03,8.28,0.0,17.59,62.09,461.53,0.0,120.04,False,,,,,,,201.9,,100.7,21.8,,,,,,,147.7,,146.8,17.0,,174.1,,100.8,17.8,,52.6,,63.6,,175.8,,109.6,43.8,21.1,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.9,,180.3,192.5,,216.8,,127.2,34.5,10.1,238.6,120.7,,,,,,,
HPAP-034,Body of pancreas,ROI2,3855,1.5101,7.95,15.23,0.0,25.16,150.33,750.31,0.0,180.13,True,91.0,54.6,,67.6,14.0,162.1,133.7,,71.9,16.8,,,,,,197.2,124.7,,73.4,19.0,212.7,138.8,,100.9,13.8,26.8,31.6,,37.3,178.4,161.0,,89.4,22.4,15.0,40.1,,,,,,,,,,,,414.7,690.0,1285.6,395.9,464.3,881.5,,,,387.3,737.9,1262.2,455.9,846.6,1212.8,572.5,1040.4,1327.8,275.9,546.6,1193.4,40.5,77.8,,117.8,105.7,215.0,108.0,,101.1,23.3,10.8,102.4,54.1,,,,,,,
HPAP-034,Body of pancreas,ROI3,3667,1.0961,3.65,16.42,0.0,27.37,71.16,247.25,694.31,0.0,True,139.7,74.2,,72.8,45.9,342.6,73.9,,77.4,35.8,,,,,,261.8,129.9,,85.6,39.4,300.3,115.8,,93.5,16.1,68.7,73.7,,52.1,297.9,107.8,,58.8,17.9,18.5,56.1,14.0,17.4,,18.3,23.6,325.4,121.3,,101.3,38.8,16.0,4.9,45.9,110.9,211.8,310.3,551.8,,,,133.4,202.7,380.8,200.4,358.9,491.1,35.4,165.2,435.8,,,,,,,,,,,,,,,,,149.3,334.2,539.5,22.6,74.6,,
HPAP-034,Head of pancreas,ROI1,3057,0.9944,9.05,16.09,1.01,26.15,607.39,772.31,0.0,0.0,True,157.0,147.3,,104.3,21.3,150.7,102.4,,98.2,13.6,,,,,,198.2,100.0,,70.5,22.4,164.3,125.3,,99.4,15.7,11.2,18.5,,22.8,157.1,111.6,,99.0,14.8,18.9,22.9,,,,,,,,,,,,358.2,641.1,865.1,613.9,677.7,757.9,,,,281.3,559.7,836.0,302.5,539.7,781.6,478.1,696.0,846.4,,,,,,,,,,,,,,,,,,,,,,,
HPAP-034,Head of pancreas,ROI2,3605,1.0944,9.14,13.71,0.0,42.95,1159.58,870.83,0.0,201.94,True,235.6,113.9,,86.6,16.4,120.7,196.1,,113.7,18.2,,,,,,130.6,145.3,,64.6,20.8,147.9,129.1,,76.7,15.7,15.6,14.5,,14.3,174.3,133.9,,78.3,13.6,19.1,17.4,,,,,,,,,,,,383.5,726.0,876.8,312.7,472.6,706.6,,,,448.4,654.9,857.2,362.7,688.3,849.1,446.2,630.2,793.8,474.4,725.0,819.4,89.6,117.8,,125.8,114.1,131.0,144.7,,105.9,19.8,12.8,96.8,19.5,,,,,,,
