donor,region,roi,has_septa,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast
HPAP-011,Tail of pancreas,ROI3,True,7.7,12.5,27.2,24.5,71.0,132.3,55.2,124.5,197.1,79.3,138.9,208.4,58.2,141.2,220.3,7.3,17.6,103.8,31.2,98.6,205.3,,,
HPAP-012,Body of pancreas,ROI1,True,,,,,,,333.5,346.3,438.5,464.3,652.0,786.9,352.5,558.2,759.5,,,,560.7,725.7,798.5,,,
HPAP-012,Body of pancreas,ROI2,True,,,,,,,364.5,413.7,534.0,136.7,318.1,517.9,197.4,312.1,463.7,,,,,,,,,
HPAP-012,Body of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-012,Head of pancreas,ROI1,True,286.3,304.7,350.9,313.8,446.5,500.2,360.9,401.0,447.3,176.9,283.6,378.5,221.8,325.6,414.3,,,,,,,89.3,172.7,285.6
HPAP-012,Head of pancreas,ROI2,True,,,,14.4,62.5,142.5,59.6,110.0,310.4,4.0,16.6,129.0,,,,,,,,,,82.5,262.6,395.0
HPAP-012,Head of pancreas,ROI3,True,10.8,115.6,246.4,30.4,133.0,219.9,165.4,272.0,336.1,90.8,180.2,268.2,103.3,192.3,286.1,,,,,,,115.1,199.3,288.4
HPAP-012,Tail of pancreas,ROI1,True,,,,51.7,168.7,309.2,165.8,275.2,381.9,110.9,230.2,392.6,161.0,271.1,389.6,,,,,,,,,
HPAP-012,Tail of pancreas,ROI2,True,,,,25.3,68.6,106.5,,,,17.5,54.1,133.6,55.4,130.6,264.4,,,,100.2,140.3,190.2,,,
HPAP-012,Tail of pancreas,ROI3,True,,,,84.4,191.9,473.2,146.1,281.2,654.2,209.4,404.4,553.0,238.0,474.5,660.0,,,,541.6,722.4,815.0,,,
HPAP-014,Body of pancreas,ROI1,True,,,,28.8,72.8,162.6,,,,19.7,65.5,177.7,42.0,132.4,203.2,,,,125.1,176.1,186.9,,,
HPAP-014,Body of pancreas,ROI2,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-014,Body of pancreas,ROI3,True,,,,261.4,451.0,653.0,,,,314.7,378.6,539.5,179.8,358.7,676.7,,,,,,,,,
HPAP-014,Head of pancreas,ROI1,True,68.7,127.3,141.8,65.9,222.4,314.2,,,,20.9,69.5,134.9,63.3,132.7,247.0,,,,117.7,361.7,400.1,,,
HPAP-014,Head of pancreas,ROI2,True,,,,116.6,240.4,279.4,,,,150.1,271.4,421.3,163.5,241.1,334.8,,,,,,,,,
HPAP-014,Head of pancreas,ROI3,True,,,,28.0,140.6,259.5,186.2,377.9,411.3,13.3,27.5,99.5,22.8,72.0,215.0,,,,,,,41.0,107.0,244.1
HPAP-014,Tail of pancreas,ROI1,True,,,,73.8,210.5,270.2,,,,95.2,208.6,273.1,103.4,185.4,282.5,,,,49.7,140.9,242.5,,,
HPAP-014,Tail of pancreas,ROI2,True,,,,180.3,267.1,348.9,192.4,370.7,395.4,23.7,173.2,343.2,97.7,210.8,329.3,,,,123.5,240.7,356.5,,,
HPAP-014,Tail of pancreas,ROI3,True,10.1,24.4,30.6,10.0,19.6,28.0,,,,9.1,14.8,23.0,7.0,15.1,32.8,,,,,,,,,
HPAP-018,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI2,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Head of pancreas,ROI1,True,,,,448.9,660.7,780.9,501.5,632.2,678.8,161.2,264.4,557.9,197.4,347.2,545.2,,,,,,,345.2,414.7,459.5
HPAP-018,Head of pancreas,ROI2,True,,,,214.1,279.5,369.9,156.1,257.4,314.1,187.6,292.2,400.5,191.1,300.2,387.0,,,,,,,,,
HPAP-018,Tail of pancreas,ROI4,True,,,,27.5,84.4,150.8,,,,100.2,131.8,139.6,47.7,107.3,198.8,,,,,,,,,
HPAP-018,Tail of pancreas,ROI5,True,,,,157.3,218.8,327.3,,,,51.3,175.6,288.5,55.4,151.4,280.2,,,,,,,,,
HPAP-026,Head of pancreas,ROI1,True,,,,,,,,,,27.5,120.6,230.4,52.3,100.4,163.4,,,,,,,,,
HPAP-026,Head of pancreas,ROI2,True,215.2,310.8,567.1,241.2,432.5,551.8,99.5,218.5,346.7,30.6,199.4,286.2,58.8,145.0,246.3,,,,95.8,151.3,299.3,,,
HPAP-026,Head of pancreas,ROI3,True,84.6,347.6,554.6,151.0,406.6,485.8,132.4,269.3,544.9,98.9,197.2,395.9,103.5,295.4,467.6,,,,,,,,,
HPAP-026,Tail of pancreas,ROI1,True,89.0,183.2,215.2,80.4,158.3,363.9,114.1,160.0,350.6,79.5,185.3,441.6,46.6,157.7,472.9,,,,66.1,134.1,177.8,,,
HPAP-026,Tail of pancreas,ROI2,True,,,,8.5,13.0,65.3,,,,43.3,120.1,178.8,20.6,82.3,156.1,,,,,,,,,
HPAP-026,Tail of pancreas,ROI3,True,37.5,152.9,206.8,84.3,184.0,291.5,124.5,237.9,286.4,46.1,122.0,259.0,60.0,137.2,244.7,,,,70.7,156.2,215.4,,,
HPAP-027,Body of pancreas,ROI1,True,122.5,166.8,194.5,14.7,77.6,119.7,68.6,98.9,146.8,11.0,59.7,163.0,39.8,89.2,174.6,41.3,72.2,151.0,,,,,,
HPAP-027,Body of pancreas,ROI2,True,7.8,11.9,31.3,12.6,31.4,75.5,47.7,89.3,225.9,9.2,18.4,87.4,30.9,66.0,153.9,91.7,161.5,202.7,,,,,,
HPAP-027,Body of pancreas,ROI3,True,21.2,32.0,63.7,7.8,63.3,179.6,44.3,104.8,188.2,21.4,81.4,174.5,29.9,79.8,149.1,63.9,108.7,188.1,34.6,82.8,152.8,,,
HPAP-027,Head of pancreas,ROI1,True,48.8,67.0,110.9,76.7,182.7,335.0,,,,61.7,130.6,303.0,41.7,60.2,132.4,,,,105.5,157.2,261.7,,,
HPAP-027,Head of pancreas,ROI2,True,10.2,42.7,66.7,9.9,32.7,154.6,6.3,29.2,87.8,8.1,36.7,154.5,14.4,82.1,250.0,10.6,49.7,210.7,,,,11.6,85.4,208.4
HPAP-027,Head of pancreas,ROI3,True,55.7,102.0,181.8,55.8,108.3,175.1,20.5,39.6,99.5,15.3,68.0,117.9,49.1,88.9,166.2,88.8,128.3,196.4,,,,,,
HPAP-034,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-034,Body of pancreas,ROI2,True,414.7,690.0,1285.6,395.9,464.3,881.5,,,,387.3,737.9,1262.2,455.9,846.6,1212.8,572.5,1040.4,1327.8,275.9,546.6,1193.4,,,
HPAP-034,Body of pancreas,ROI3,True,4.9,45.9,110.9,211.8,310.3,551.8,,,,133.4,202.7,380.8,200.4,358.9,491.1,35.4,165.2,435.8,,,,149.3,334.2,539.5
HPAP-034,Head of pancreas,ROI1,True,358.2,641.1,865.1,613.9,677.7,757.9,,,,281.3,559.7,836.0,302.5,539.7,781.6,478.1,696.0,846.4,,,,,,
HPAP-034,Head of pancreas,ROI2,True,383.5,726.0,876.8,312.7,472.6,706.6,,,,448.4,654.9,857.2,362.7,688.3,849.1,446.2,630.2,793.8,474.4,725.0,819.4,,,
HPAP-034,Head of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-034,Tail of pancreas,ROI1,True,116.7,193.1,461.3,142.7,185.9,261.4,,,,80.2,209.3,385.6,126.2,263.6,397.4,123.8,223.4,364.2,,,,167.3,268.5,383.4
HPAP-034,Tail of pancreas,ROI2,True,180.6,232.0,343.5,165.2,223.3,311.9,,,,188.7,270.2,379.1,183.2,309.6,431.8,181.1,284.4,406.9,190.8,211.1,240.8,233.3,334.4,438.9
HPAP-034,Tail of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-034,Tail of pancreas,ROI4,True,43.0,120.4,335.7,409.6,559.7,726.8,,,,137.3,516.7,651.6,419.5,592.8,728.8,137.2,380.3,557.5,481.1,741.6,797.2,,,
HPAP-035,Body of pancreas,ROI1,True,81.2,190.9,304.2,100.6,199.4,331.7,55.9,144.9,263.0,68.9,193.2,376.8,75.4,161.1,294.3,121.8,180.8,300.3,96.4,196.7,345.4,,,
HPAP-035,Body of pancreas,ROI2,True,85.8,142.0,205.1,79.2,166.2,283.7,135.2,176.0,296.0,63.7,157.9,235.8,113.7,178.4,228.4,154.5,204.0,259.2,,,,95.6,162.6,239.7
HPAP-035,Body of pancreas,ROI3,True,255.3,385.7,505.1,173.0,341.2,492.5,155.3,342.4,478.6,187.7,284.6,438.0,205.1,394.8,539.5,210.5,405.6,516.3,150.8,322.2,536.1,153.4,318.7,528.2
