donor,region,roi,has_septa,septa_p25_cd4_t,septa_p50_cd4_t,septa_p75_cd4_t,septa_p25_cd8_t,septa_p50_cd8_t,septa_p75_cd8_t,septa_p25_b_cell,septa_p50_b_cell,septa_p75_b_cell,septa_p25_macrophage,septa_p50_macrophage,septa_p75_macrophage,septa_p25_other_immune,septa_p50_other_immune,septa_p75_other_immune,septa_p25_mdsc,septa_p50_mdsc,septa_p75_mdsc,septa_p25_endothelial,septa_p50_endothelial,septa_p75_endothelial,septa_p25_fibroblast,septa_p50_fibroblast,septa_p75_fibroblast
HPAP-046,Body of pancreas,ROI2,True,31.7,136.5,219.6,124.3,187.8,268.0,,,,125.5,199.4,254.5,101.5,176.7,242.3,101.0,195.7,249.6,,,,,,
HPAP-046,Body of pancreas,ROI3,True,,,,130.4,139.5,313.6,,,,130.3,263.0,425.5,162.1,277.0,427.0,130.1,240.9,384.3,,,,,,
HPAP-046,Head of pancreas,ROI1,True,,,,71.2,125.9,365.6,,,,22.6,133.9,237.9,64.3,149.1,283.3,56.6,163.1,293.6,,,,,,
HPAP-046,Head of pancreas,ROI3,True,17.4,18.9,31.2,31.0,41.2,51.1,,,,8.3,20.4,49.5,5.0,18.0,51.4,5.0,9.2,44.8,18.0,44.3,75.7,24.8,49.2,79.4
HPAP-046,Tail of pancreas,ROI1,True,,,,49.3,190.7,378.4,,,,23.0,201.9,336.6,104.3,224.1,329.3,69.6,209.3,295.6,,,,,,
HPAP-046,Tail of pancreas,ROI2,True,,,,49.4,404.5,502.2,,,,205.6,352.4,468.3,208.3,351.5,498.1,279.9,417.3,586.9,283.2,418.9,593.9,,,
HPAP-046,Tail of pancreas,ROI3,True,,,,242.9,668.5,828.9,,,,310.5,637.5,720.2,151.3,361.9,617.8,185.5,338.5,635.8,464.4,510.3,690.5,,,
HPAP-047,Body of pancreas,ROI1,True,,,,8.6,9.9,12.2,4.0,9.8,20.6,5.7,10.4,19.9,4.0,10.6,21.0,3.3,4.2,8.7,7.1,12.0,21.2,,,
HPAP-047,Body of pancreas,ROI2,True,,,,61.3,71.0,146.6,25.9,60.8,86.5,38.1,66.0,93.5,22.5,44.7,76.3,,,,23.0,45.3,78.7,,,
HPAP-047,Body of pancreas,ROI3,True,,,,39.5,74.1,77.1,10.9,25.0,40.9,9.9,22.5,46.1,3.6,10.2,28.5,,,,,,,,,
HPAP-052,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-052,Body of pancreas,ROI2,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-052,Body of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-052,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-052,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,199.8,307.8,504.4
HPAP-052,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,194.6,432.4,625.8,235.4,450.7,632.0
HPAP-052,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,161.7,274.4,382.0,,,
HPAP-052,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-052,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,115.1,182.3,271.5,,,
HPAP-053,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-053,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,167.2,215.3,318.8,,,
HPAP-053,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,421.0,459.8,565.5,,,
HPAP-053,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,128.0,272.6,763.3,,,
HPAP-053,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-053,Head of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-053,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,136.8,173.2,203.4,,,
HPAP-053,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,157.4,238.1,438.5,,,
HPAP-053,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,406.5,527.2,568.6,255.1,511.1,687.2
HPAP-054,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,427.6,652.9,725.9,,,
HPAP-054,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,248.0,336.0,625.5,,,
HPAP-054,Body of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-054,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-054,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-054,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,159.3,202.8,230.8,,,
HPAP-054,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-054,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,68.1,111.7,178.8,,,
HPAP-054,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,240.6,361.4,386.3,,,
HPAP-056,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,18.0,42.9,98.7,,,
HPAP-056,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,22.1,63.7,119.5,,,
HPAP-056,Body of pancreas,ROI5,True,,,,,,,,,,,,,,,,,,,43.3,83.9,133.3,,,
HPAP-056,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,93.1,130.8,170.3,,,
HPAP-056,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,48.3,165.7,206.3,,,
HPAP-056,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,66.9,110.8,155.3,,,
HPAP-056,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,76.7,134.3,219.5,,,
HPAP-056,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,76.5,132.8,187.4,,,
HPAP-059,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,138.4,188.7,226.1,,,
HPAP-059,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,114.4,221.9,349.3,,,
HPAP-059,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,163.9,327.3,503.9,,,
HPAP-059,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,261.0,399.0,454.9,,,
HPAP-059,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,384.9,447.2,512.6,109.5,216.4,320.8
HPAP-059,Head of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,114.6,199.2,263.9,,,
HPAP-059,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,47.9,95.9,165.7,,,
HPAP-059,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,99.4,209.5,388.3,,,
HPAP-059,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,62.4,144.1,222.3,,,
HPAP-063,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,40.2,65.4,86.9,,,
HPAP-063,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,20.9,37.8,75.4,,,
HPAP-063,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,7.8,19.4,42.7,,,
HPAP-063,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,11.4,25.5,47.2,,,
HPAP-063,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-063,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,6.9,14.3,31.1,,,
HPAP-063,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,8.5,18.1,36.4,,,
HPAP-063,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,33.3,66.9,113.1,,,
HPAP-063,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,20.2,42.0,63.0,,,
HPAP-066,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,94.9,182.8,257.7,107.3,189.8,327.6
HPAP-066,Head of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,206.7,405.1,560.8,217.6,405.9,527.4
HPAP-066,Head of pancreas,ROI5,True,,,,,,,,,,,,,,,,,,,40.4,137.9,238.9,74.2,133.9,247.9
HPAP-066,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-066,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,80.5,144.0,245.7,,,
HPAP-066,Tail of pancreas,ROI5,True,,,,,,,,,,,,,,,,,,,,,,159.7,304.9,450.1
HPAP-067,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-067,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,282.4,456.5,603.3,,,
HPAP-067,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,104.2,204.9,304.7,28.6,107.8,213.6
HPAP-067,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,81.0,210.9,297.6,,,
HPAP-067,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,181.9,298.4,430.9
HPAP-067,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,93.0,173.9,283.3,,,
HPAP-067,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-067,Tail of pancreas,ROI2,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-067,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-074,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,148.4,279.6,386.5,,,
HPAP-074,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,321.8,446.1,527.0,,,
HPAP-074,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,127.2,207.1,288.6,,,
HPAP-074,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-074,Head of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,77.6,286.6,355.4,312.2,327.9,355.6
HPAP-074,Head of pancreas,ROI5,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-075,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-075,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,116.9,278.5,463.7,,,
HPAP-075,Body of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,57.5,197.7,319.2,,,
HPAP-075,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-075,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,168.5,284.6,414.2,,,
HPAP-075,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-075,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,173.8,259.3,306.7,,,
HPAP-075,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,174.5,333.9,492.3,,,
HPAP-075,Tail of pancreas,ROI6,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-080,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,340.0,435.7,530.5,,,
HPAP-080,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-080,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,219.0,395.0,609.0,,,
HPAP-080,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,76.6,193.4,385.1,,,
HPAP-080,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,107.2,286.5,524.0,,,
HPAP-080,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,258.9,496.3,648.0,,,
HPAP-082,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-082,Body of pancreas,ROI4,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-082,Head of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-082,Head of pancreas,ROI2,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-082,Head of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-082,Tail of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-082,Tail of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-082,Tail of pancreas,ROI5,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Body of pancreas,ROI6,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Head of pancreas,ROI5,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-093,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Body of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Body of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Body of pancreas,ROI4,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Head of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Head of pancreas,ROI2,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Head of pancreas,ROI3,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Tail of pancreas,ROI1,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Tail of pancreas,ROI2,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-095,Tail of pancreas,ROI5,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-099,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-099,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-099,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,41.9,99.8,185.6,,,
HPAP-099,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,40.3,103.4,163.0,,,
HPAP-099,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-099,Head of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-099,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-099,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-099,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-105,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-105,Body of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-105,Body of pancreas,ROI5,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-105,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-105,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-105,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-105,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,71.0,150.3,273.3,,,
HPAP-105,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,71.0,199.8,340.9,,,
HPAP-105,Tail of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-118,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,495.1,549.7,594.3,,,
HPAP-118,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-118,Body of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,50.7,121.2,234.6,,,
HPAP-118,Head of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-118,Head of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-118,Head of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,5.0,9.8,22.1,,,
HPAP-118,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-118,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-118,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-136,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-136,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,82.3,177.6,338.1,,,
HPAP-139,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,23.1,74.9,130.9,,,
HPAP-139,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-139,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-146,Body of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-146,Body of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-146,Body of pancreas,ROI4,True,,,,,,,,,,,,,,,,,,,88.2,257.1,419.9,,,
HPAP-146,Head of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,312.5,383.7,452.2,,,
HPAP-146,Head of pancreas,ROI4,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-146,Head of pancreas,ROI5,False,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-146,Tail of pancreas,ROI1,True,,,,,,,,,,,,,,,,,,,118.6,192.2,259.4,,,
HPAP-146,Tail of pancreas,ROI2,True,,,,,,,,,,,,,,,,,,,32.9,93.9,186.6,,,
HPAP-146,Tail of pancreas,ROI3,True,,,,,,,,,,,,,,,,,,,106.1,160.9,221.4,,,
