donor,region,roi,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-014,Head of pancreas,ROI1,209.5,311.7,388.5,33.4,15.6,352.7,84.9,120.4,107.2,26.0,315.2,14.3,177.2,92.2,54.3,360.1,240.1,364.0,85.4,20.2,301.5,227.3,354.1,88.0,17.2,,,,,,,,,,,,,,,,,,,,,,,364.5,172.2,136.3,248.8,264.3,405.5,191.3,224.8,153.4,38.6,17.5,,,,,,
HPAP-014,Head of pancreas,ROI2,,,,,,,29.3,,109.6,30.6,,,,,,,83.2,,188.4,21.5,,187.3,,139.3,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-014,Head of pancreas,ROI3,411.9,189.8,458.0,78.3,18.2,455.8,105.5,175.2,103.3,20.1,437.0,143.5,93.5,124.7,15.4,336.9,163.5,312.5,43.5,20.8,377.6,138.0,271.2,73.8,14.8,,,,,,,,,,,,68.0,29.6,53.9,36.9,42.2,525.9,134.8,208.4,71.2,19.2,34.2,,,,,,,,,,,,,,,,,
HPAP-014,Tail of pancreas,ROI1,,,,,,,45.0,,25.5,18.7,,,,,,,68.0,,18.2,14.4,,65.5,,29.4,12.7,,,,,,,,,,,,,,,,,,,,,,,,23.6,,21.8,24.1,,82.9,,39.8,20.7,13.4,,,,,,
HPAP-014,Tail of pancreas,ROI2,,,,,,,111.7,217.6,60.0,24.5,,100.6,64.3,43.0,13.0,,141.7,271.1,23.9,23.0,,93.6,198.2,58.2,16.6,,,,,,,,,,,,,,,,,,,,,,,,20.3,32.7,22.4,22.8,,105.6,191.0,63.6,21.5,16.7,,,,,,
HPAP-014,Tail of pancreas,ROI3,46.7,32.1,377.0,22.3,54.9,93.6,28.5,342.8,26.0,32.5,110.6,46.1,293.4,45.8,23.2,75.2,35.5,346.1,21.0,43.1,157.1,47.4,405.0,38.6,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI1,,,,,,,139.5,282.5,107.4,12.4,,30.8,98.0,46.8,13.2,,106.9,352.8,76.3,13.0,,103.0,318.7,77.6,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI2,,,,,,,94.8,172.3,95.3,14.1,,62.6,83.7,66.7,9.4,,103.5,197.4,60.2,14.4,,91.7,215.7,94.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Body of pancreas,ROI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,
HPAP-018,Head of pancreas,ROI1,261.8,14.6,28.9,110.3,11.0,135.9,21.3,75.5,59.8,11.0,146.3,36.9,67.3,100.9,9.4,539.8,57.2,205.2,58.6,10.8,532.7,71.4,154.9,80.9,11.0,,,,,,,,,,,,453.2,420.6,325.3,169.6,172.9,548.6,112.6,208.3,153.2,12.8,20.8,,,,,,,,,,,,,,,,,
HPAP-018,Head of pancreas,ROI2,624.9,64.3,157.1,42.3,10.2,269.8,35.4,74.9,46.4,11.8,261.1,55.3,110.1,59.7,11.3,276.4,47.4,89.6,37.0,12.6,303.6,54.6,108.2,55.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Tail of pancreas,ROI4,,,,,,,88.1,,316.2,26.5,,,,,,,67.9,,95.7,25.0,,116.1,,251.5,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-018,Tail of pancreas,ROI5,,,,,,,123.6,,111.6,19.0,,,,,,,62.4,,297.2,21.3,,154.8,,169.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Head of pancreas,ROI1,,,,,,,,,,,,,,,,,,,28.3,224.4,,,,93.1,421.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Head of pancreas,ROI2,288.8,154.6,345.3,101.3,23.5,161.8,98.6,214.9,79.2,34.6,275.6,206.3,191.9,91.4,42.5,290.6,185.1,254.1,32.3,31.1,337.9,257.4,187.9,59.5,33.9,,,,,,,,,,,,,,,,,,,,,,,104.3,75.2,74.6,86.2,77.4,307.2,282.1,203.9,73.7,48.8,18.9,,,,,,
HPAP-026,Head of pancreas,ROI3,142.7,113.5,96.2,15.8,17.3,132.8,84.7,105.8,25.7,14.9,142.5,93.3,66.7,25.0,16.3,166.4,113.5,139.8,20.8,24.5,127.6,81.7,106.3,30.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Tail of pancreas,ROI1,134.9,61.2,318.7,15.9,46.5,117.3,32.1,147.9,13.4,54.9,133.7,33.7,379.4,15.5,45.1,137.0,57.4,262.9,12.7,61.9,116.2,55.1,220.4,14.1,43.0,,,,,,,,,,,,,,,,,,,,,,,114.6,76.9,102.8,83.6,82.1,133.5,74.2,267.5,23.5,71.6,15.5,,,,,,
HPAP-026,Tail of pancreas,ROI2,367.2,365.7,,31.9,40.0,299.1,43.2,,46.8,21.1,,,,,,405.9,576.8,,14.9,129.1,315.1,317.7,,20.1,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-026,Tail of pancreas,ROI3,49.0,94.8,73.1,24.8,29.6,137.4,118.3,100.1,26.3,23.8,149.5,73.1,119.3,28.6,23.9,138.1,84.3,99.3,22.3,37.0,126.3,83.9,90.9,31.7,25.5,,,,,,,,,,,,,,,,,,,,,,,93.9,107.9,79.5,99.4,108.6,135.2,127.7,108.4,41.6,50.9,29.6,,,,,,
HPAP-027,Body of pancreas,ROI1,160.0,33.7,77.4,24.1,28.4,113.2,54.5,65.1,28.5,25.5,160.4,67.3,35.5,27.2,27.3,281.0,83.0,74.3,15.0,31.0,121.7,62.6,59.9,26.5,17.9,48.0,47.9,56.0,75.9,91.9,42.9,54.3,24.2,23.6,19.4,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-027,Body of pancreas,ROI2,151.9,42.3,54.7,29.4,38.3,206.5,57.2,55.9,49.0,25.9,294.5,93.0,30.7,76.2,28.1,237.3,101.9,71.1,30.5,48.4,224.8,93.6,58.1,62.2,22.7,148.6,332.5,243.9,265.1,184.2,71.5,63.1,54.7,456.1,26.2,255.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-027,Body of pancreas,ROI3,113.0,46.9,75.6,17.2,16.3,188.1,47.3,74.0,28.1,19.4,291.5,91.0,69.8,51.3,24.2,234.1,90.9,79.8,33.2,19.6,253.3,98.9,74.3,41.3,15.4,91.0,111.4,73.4,104.7,252.3,108.1,66.0,31.4,57.8,16.9,97.4,,,,,,,,,,,,50.9,36.6,36.5,43.4,37.9,248.8,105.4,65.8,47.0,17.3,31.6,38.2,76.1,,,,
HPAP-027,Head of pancreas,ROI1,100.0,15.0,370.4,24.4,109.3,260.7,22.3,351.0,24.4,153.6,374.5,34.4,373.7,19.5,153.6,305.0,33.5,355.8,16.1,178.9,306.3,26.0,279.2,37.7,184.2,,,,,,,,,,,,,,,,,,,,,,,69.6,77.2,27.1,82.4,58.8,425.5,43.2,358.3,32.4,171.6,16.5,,,,,,
HPAP-027,Head of pancreas,ROI2,80.3,19.6,77.9,44.7,34.4,85.6,18.4,68.0,33.9,39.6,90.3,17.0,149.3,45.3,44.9,96.8,23.0,82.9,29.1,49.3,89.3,27.0,93.1,39.0,37.1,79.0,62.0,63.5,66.3,90.6,19.0,78.4,26.0,48.7,33.4,66.2,29.8,30.6,35.9,32.3,36.4,105.3,25.3,109.9,45.4,45.1,29.8,,,,,,,,,,,,,,40.1,88.2,,
HPAP-027,Head of pancreas,ROI3,56.3,19.2,108.2,38.9,27.4,55.8,24.8,107.3,40.2,34.5,94.5,33.3,45.0,37.7,43.4,61.5,30.0,154.6,25.6,37.9,53.4,28.7,110.0,39.7,24.6,45.5,62.5,120.6,69.2,54.8,24.8,124.1,36.9,34.0,32.8,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-034,Body of pancreas,ROI1,,,,,,,201.9,,100.7,21.8,,,,,,,147.7,,146.8,17.0,,174.1,,100.8,17.8,,52.6,,63.6,,175.8,,109.6,43.8,21.1,65.1,,,,,,,,,,,,,248.9,,180.3,192.5,,216.8,,127.2,34.5,10.1,238.6,120.7,,,,
HPAP-034,Body of pancreas,ROI2,91.0,54.6,,67.6,14.0,162.1,133.7,,71.9,16.8,,,,,,197.2,124.7,,73.4,19.0,212.7,138.8,,100.9,13.8,26.8,31.6,,37.3,178.4,161.0,,89.4,22.4,15.0,40.1,,,,,,,,,,,,40.5,77.8,,117.8,105.7,215.0,108.0,,101.1,23.3,10.8,102.4,54.1,,,,
HPAP-034,Body of pancreas,ROI3,139.7,74.2,,72.8,45.9,342.6,73.9,,77.4,35.8,,,,,,261.8,129.9,,85.6,39.4,300.3,115.8,,93.5,16.1,68.7,73.7,,52.1,297.9,107.8,,58.8,17.9,18.5,56.1,14.0,17.4,,18.3,23.6,325.4,121.3,,101.3,38.8,16.0,,,,,,,,,,,,,,22.6,74.6,,
HPAP-034,Head of pancreas,ROI1,157.0,147.3,,104.3,21.3,150.7,102.4,,98.2,13.6,,,,,,198.2,100.0,,70.5,22.4,164.3,125.3,,99.4,15.7,11.2,18.5,,22.8,157.1,111.6,,99.0,14.8,18.9,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-034,Head of pancreas,ROI2,235.6,113.9,,86.6,16.4,120.7,196.1,,113.7,18.2,,,,,,130.6,145.3,,64.6,20.8,147.9,129.1,,76.7,15.7,15.6,14.5,,14.3,174.3,133.9,,78.3,13.6,19.1,17.4,,,,,,,,,,,,89.6,117.8,,125.8,114.1,131.0,144.7,,105.9,19.8,12.8,96.8,19.5,,,,
HPAP-034,Head of pancreas,ROI3,181.8,137.3,,89.9,39.1,200.2,153.6,,56.7,34.1,,,,,,215.1,131.9,,99.1,28.9,209.0,143.0,,85.1,17.0,10.2,10.9,,11.5,219.8,134.7,,81.5,12.2,28.2,15.7,,,,,,,,,,,,116.2,79.3,,139.6,167.5,156.7,118.3,,94.1,57.3,10.4,113.0,22.7,,,,
HPAP-034,Tail of pancreas,ROI1,88.0,161.3,,79.1,23.7,133.3,143.7,,34.7,30.7,,,,,,148.9,174.2,,106.3,35.4,164.6,186.4,,74.3,29.0,19.0,21.1,,17.1,128.5,203.2,,60.9,13.9,29.2,21.8,36.0,30.4,,39.3,39.0,167.2,185.5,,59.6,24.3,26.3,,,,,,,,,,,,,,36.6,18.9,,
HPAP-034,Tail of pancreas,ROI2,99.2,95.6,,22.4,18.3,169.1,62.3,,35.2,18.9,,,,,,206.1,109.6,,36.0,16.2,188.1,112.9,,46.8,14.0,19.4,20.6,,16.0,196.2,124.9,,44.3,13.8,15.5,18.5,24.6,34.2,,28.5,24.5,222.2,127.8,,50.3,15.8,18.6,186.7,130.9,,167.3,158.2,279.1,65.7,,36.2,22.9,11.8,148.1,23.3,29.7,23.4,151.5,44.2
HPAP-034,Tail of pancreas,ROI3,162.0,256.2,,85.8,27.7,121.6,89.2,,70.5,22.3,,,,,,162.1,255.7,,60.2,27.4,172.8,128.4,,79.7,15.8,15.9,25.9,,18.8,169.0,275.5,,60.8,14.1,21.8,22.9,33.0,32.6,,53.3,30.2,159.4,206.5,,94.3,23.2,17.3,,,,,,,,,,,,,,49.7,35.4,,
HPAP-034,Tail of pancreas,ROI4,172.9,140.2,,42.3,55.4,254.1,171.0,,28.8,18.7,,,,,,194.4,136.9,,61.3,24.7,261.2,114.6,,68.9,19.0,14.7,30.2,,18.9,209.1,123.5,,51.4,16.0,31.2,30.7,,,,,,,,,,,,70.5,101.9,,101.3,143.1,378.7,136.0,,86.8,33.6,15.2,116.1,33.1,,,,
HPAP-035,Body of pancreas,ROI1,21.1,15.7,110.9,61.9,19.9,22.6,14.9,109.0,60.9,20.9,49.9,28.6,57.0,61.2,15.2,30.6,16.5,81.1,28.2,16.4,31.0,22.7,76.8,62.5,13.1,20.0,24.6,25.9,31.1,30.0,21.6,82.9,73.2,17.8,17.8,22.3,,,,,,,,,,,,21.2,23.0,27.5,22.6,25.4,29.5,18.8,87.6,54.8,18.2,15.7,26.3,23.8,,,,
HPAP-035,Body of pancreas,ROI2,43.7,20.9,200.8,35.2,45.6,71.2,12.5,219.1,38.0,70.8,62.1,36.4,149.5,22.3,41.7,75.6,15.3,202.6,30.4,60.7,52.1,20.9,158.7,37.6,43.6,116.2,212.2,147.8,176.4,68.5,40.7,218.8,57.1,39.8,37.4,99.0,19.1,22.7,20.1,21.9,15.8,49.9,21.8,195.9,41.0,44.7,15.9,,,,,,,,,,,,,,17.4,100.6,,
HPAP-035,Body of pancreas,ROI3,38.9,22.7,57.7,125.2,18.4,52.4,22.9,47.7,140.1,21.1,90.0,47.5,31.9,144.1,15.1,70.0,32.4,42.5,158.3,18.3,93.7,44.5,36.9,149.8,16.4,18.0,26.1,32.1,31.5,54.8,34.2,44.6,141.2,21.4,19.1,32.0,28.5,25.5,20.9,19.1,20.9,90.1,43.9,37.4,153.6,17.5,15.2,27.6,26.1,27.6,21.2,26.7,86.5,41.9,39.1,143.3,17.5,18.3,26.9,33.6,20.7,33.1,25.8,19.4
HPAP-035,Head of pancreas,ROI1,31.1,41.4,48.2,52.0,17.3,54.5,35.1,44.3,49.5,19.7,62.7,59.3,29.4,57.7,13.5,67.8,48.8,41.6,41.0,18.9,59.8,68.5,33.0,58.5,13.5,18.7,32.7,30.4,32.6,43.9,55.6,33.3,51.2,22.6,14.3,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-035,Head of pancreas,ROI2,40.3,47.5,23.5,106.5,14.0,78.9,21.6,29.3,118.4,14.8,72.2,52.9,24.1,115.7,13.8,80.0,53.1,29.4,116.9,15.8,87.0,54.6,25.5,114.1,13.8,21.7,31.2,31.7,31.0,64.2,49.9,29.2,106.3,24.1,14.5,34.5,,,,,,,,,,,,29.2,25.4,28.0,25.0,29.2,90.7,51.1,27.3,118.3,15.5,21.6,26.4,32.7,,,,
HPAP-035,Head of pancreas,ROI3,109.8,34.1,38.0,49.2,25.9,251.7,53.6,39.1,58.4,17.4,218.6,61.9,31.1,62.5,14.4,132.8,60.2,33.9,52.5,16.7,199.2,56.0,30.6,58.2,13.5,43.3,47.5,43.4,39.1,159.0,54.8,31.1,55.8,34.5,13.7,43.0,38.8,25.6,22.1,21.2,23.6,247.6,50.8,34.3,61.0,16.6,16.1,24.3,21.3,20.4,22.2,19.8,203.7,58.7,36.3,66.7,17.1,13.8,21.5,58.4,21.7,52.8,17.6,23.2
HPAP-035,Tail of pancreas,ROI1,47.7,65.6,203.0,32.9,29.8,83.5,55.5,150.7,47.9,34.9,55.1,76.0,111.8,22.6,43.7,49.3,74.8,202.1,43.1,24.3,89.8,80.7,348.3,50.9,18.1,,,,,,,,,,,,39.4,32.9,21.0,36.7,39.6,129.4,91.5,247.8,82.6,45.8,22.5,,,,,,,,,,,,,,,,,
HPAP-035,Tail of pancreas,ROI2,49.1,53.1,471.2,63.0,60.3,22.9,27.2,444.0,67.7,60.1,88.9,139.3,227.3,167.3,76.4,55.1,111.3,531.1,113.6,54.4,92.7,130.2,502.9,86.3,52.4,,,,,,,,,,,,,,,,,,,,,,,26.4,28.4,37.1,20.3,35.8,104.9,137.5,507.9,102.4,66.0,23.3,,,,,,
HPAP-035,Tail of pancreas,ROI3,81.9,70.0,348.2,105.5,36.5,83.4,109.7,300.8,73.1,29.4,84.8,113.0,459.1,64.4,10.8,104.8,103.8,280.5,54.5,19.3,132.2,110.2,343.7,76.3,25.8,,,,,,,,,,,,210.5,326.6,173.0,299.2,332.4,177.8,148.9,360.9,127.1,32.2,27.2,58.1,57.4,79.4,42.5,58.3,119.2,106.8,346.0,58.1,31.4,42.4,,,,,132.9,410.7
HPAP-036,Body of pancreas,ROI1,34.8,49.6,31.4,31.8,14.4,78.8,61.0,38.8,34.8,13.5,80.0,73.9,21.0,34.6,11.7,81.5,64.7,33.7,26.2,16.1,84.5,69.9,25.6,33.3,12.7,48.9,100.6,62.6,63.0,65.2,69.1,30.3,24.7,49.9,12.5,66.1,70.0,50.7,61.0,56.4,57.1,154.5,83.2,67.9,48.4,25.0,20.0,,,,,,,,,,,,,,64.7,129.6,,
HPAP-036,Body of pancreas,ROI2,56.0,56.5,48.4,27.5,15.1,60.7,67.8,29.9,37.6,13.7,85.9,71.0,25.7,37.4,12.6,69.2,75.6,33.3,20.2,14.1,91.5,71.1,30.6,36.7,11.1,33.4,40.2,48.9,48.7,75.0,62.5,32.3,32.2,40.1,12.8,55.1,275.4,290.2,307.8,273.8,300.6,90.8,55.5,24.1,49.1,22.5,10.2,,,,,,,,,,,,,,269.2,49.0,,
HPAP-036,Body of pancreas,ROI3,62.4,170.3,26.1,104.2,11.3,189.9,226.7,26.8,79.3,13.1,223.6,196.9,21.2,100.5,11.0,173.3,147.8,25.7,80.6,12.2,199.3,202.1,23.9,106.7,11.9,63.3,85.0,75.8,76.6,139.4,167.6,19.9,105.5,29.9,10.2,86.2,,,,,,,,,,,,25.6,26.1,28.9,28.7,25.3,204.2,258.6,29.2,121.2,12.2,21.9,27.3,111.3,,,,
HPAP-036,Head of pancreas,ROI1,51.1,130.4,55.6,36.4,13.1,97.6,188.1,55.0,31.6,10.7,77.9,155.9,69.2,62.9,12.5,67.6,139.1,77.4,22.7,12.9,94.4,147.3,78.5,48.5,11.4,61.8,50.5,82.8,67.9,71.9,115.0,65.0,54.5,63.2,12.2,79.4,15.1,19.5,24.0,19.2,16.8,97.3,170.1,84.2,48.9,12.7,15.4,94.7,69.0,86.3,75.3,69.3,115.2,148.4,93.1,49.2,11.5,55.7,63.1,75.2,15.0,88.3,73.4,20.5
HPAP-036,Head of pancreas,ROI2,90.5,62.6,166.7,40.4,10.8,120.2,61.2,190.6,32.1,13.3,127.5,70.1,142.1,32.6,12.2,135.6,77.8,226.3,27.8,13.8,142.2,85.2,185.3,40.2,11.4,115.0,115.7,110.7,146.6,132.3,67.2,131.7,33.6,122.4,11.7,149.9,22.9,22.6,34.5,23.2,19.9,159.3,91.8,235.8,42.7,12.6,15.5,,,,,,,,,,,,,,24.3,200.8,,
HPAP-036,Head of pancreas,ROI3,238.5,150.3,155.1,29.7,27.4,102.4,71.8,112.5,40.5,14.0,135.5,180.9,170.1,59.2,17.9,129.7,139.2,161.0,23.5,12.9,143.5,183.8,175.0,44.0,13.6,303.0,176.3,211.6,217.8,390.0,430.7,163.6,21.5,186.2,11.9,222.5,,,,,,,,,,,,20.2,27.8,32.6,23.1,19.3,142.3,185.2,173.9,44.2,13.0,16.1,14.4,230.9,,,,
HPAP-036,Tail of pancreas,ROI1,125.0,40.0,67.4,50.2,15.6,240.9,32.4,55.7,48.2,16.1,317.0,49.8,40.8,60.1,16.0,229.0,43.3,66.5,45.5,17.4,301.1,44.2,50.0,46.2,15.2,171.8,232.5,258.7,195.7,270.6,28.0,94.2,31.1,64.5,14.3,227.9,13.1,23.2,18.6,16.9,18.4,285.8,46.0,56.8,46.9,16.9,16.0,,,,,,,,,,,,,,21.8,232.3,,
HPAP-036,Tail of pancreas,ROI2,112.2,26.1,55.8,80.9,16.5,122.9,30.3,60.4,72.4,17.0,108.1,33.1,44.7,76.3,12.8,101.1,28.9,65.9,77.1,16.1,102.9,30.9,53.4,69.7,13.1,192.4,180.1,142.2,149.2,99.6,32.4,34.5,82.1,120.2,16.5,169.9,,,,,,,,,,,,24.1,28.2,24.9,22.5,27.2,104.6,34.0,57.2,62.7,15.7,20.7,33.5,161.9,,,,
HPAP-036,Tail of pancreas,ROI3,90.0,12.7,154.1,61.5,12.1,86.4,13.8,179.4,53.2,14.3,154.2,23.9,81.5,71.1,12.4,104.8,16.6,152.3,33.4,15.7,94.1,15.8,131.0,54.0,12.4,125.4,120.7,227.7,106.3,112.4,12.0,268.9,40.2,72.8,14.2,141.4,,,,,,,,,,,,22.7,25.8,29.5,20.3,26.1,87.7,17.0,144.5,50.9,15.6,20.6,27.1,155.9,,,,
HPAP-037,Body of pancreas,ROI1,355.8,92.2,,72.4,14.8,382.4,102.4,,85.9,19.3,,,,,,484.6,153.2,,74.3,23.4,428.2,138.8,,93.9,14.8,67.6,38.1,,40.0,388.4,123.2,,100.3,33.1,16.6,43.9,,,,,,,,,,,,33.0,134.9,,141.5,119.1,415.6,94.9,,146.7,32.7,11.2,97.3,43.4,,,,
HPAP-037,Body of pancreas,ROI2,,,,,,,51.3,,117.9,16.2,,,,,,,119.6,,74.0,16.5,,103.8,,71.5,14.4,,148.4,,97.1,,142.3,,66.1,37.9,17.6,85.0,,,,,,,,,,,,,136.6,,111.7,135.0,,136.5,,104.4,23.8,12.0,94.7,60.4,,,,
HPAP-037,Body of pancreas,ROI3,253.8,108.4,,88.0,17.5,177.6,77.2,,95.1,26.0,,,,,,192.2,94.0,,103.3,19.3,180.9,88.6,,81.0,21.3,164.1,111.6,,126.2,183.3,69.1,,95.1,129.4,20.3,118.3,18.3,20.9,,22.1,19.9,164.7,87.3,,90.6,25.2,17.2,160.4,131.1,,130.7,130.5,212.5,113.3,,146.7,39.9,10.5,114.3,133.3,20.3,115.6,135.1,59.2
HPAP-037,Head of pancreas,ROI1,569.6,111.2,,110.9,20.7,257.7,85.0,,64.7,17.0,,,,,,283.9,95.8,,89.4,13.8,293.0,116.9,,74.8,13.5,40.7,32.1,,29.6,300.7,114.1,,77.3,21.4,15.1,32.0,,,,,,,,,,,,188.4,111.0,,113.2,101.0,281.8,120.2,,99.3,25.9,11.3,89.5,35.7,,,,
HPAP-037,Head of pancreas,ROI2,216.2,66.1,,96.8,58.0,270.5,107.0,,99.1,37.9,,,,,,314.6,133.1,,126.6,33.8,348.0,125.0,,94.1,26.2,55.5,43.3,,41.5,342.3,127.5,,98.2,20.6,23.9,35.9,38.1,25.4,,19.1,23.5,344.3,135.3,,98.4,35.7,16.8,87.5,76.5,,99.1,104.6,271.3,97.9,,104.4,47.4,11.7,101.9,69.4,26.8,54.6,97.0,34.0
HPAP-037,Head of pancreas,ROI3,333.8,164.8,,181.6,20.9,300.0,77.0,,93.6,16.6,,,,,,298.8,143.5,,96.3,17.1,298.0,113.2,,107.1,16.3,41.0,30.8,,19.9,291.4,110.0,,90.5,22.0,17.4,30.2,,,,,,,,,,,,91.2,128.6,,125.8,117.3,203.4,94.9,,87.1,23.5,13.8,105.5,35.5,,,,
HPAP-037,Tail of pancreas,ROI1,312.1,107.0,,65.0,60.6,289.1,37.7,,69.2,50.9,,,,,,312.9,102.8,,62.2,53.4,272.2,109.0,,82.8,33.0,19.6,36.1,,14.6,229.3,108.2,,57.7,14.7,47.0,22.7,163.5,38.9,,43.3,35.5,383.4,113.2,,92.1,47.6,17.4,,,,,,,,,,,,,,79.0,30.3,,
HPAP-037,Tail of pancreas,ROI2,635.3,68.7,,47.4,45.4,288.2,82.6,,43.3,56.5,,,,,,257.6,56.4,,33.1,51.5,272.3,121.2,,76.4,20.0,30.4,15.8,,13.9,325.2,63.7,,44.8,13.4,39.3,20.1,,,,,,,,,,,,109.4,36.2,,33.5,42.7,397.0,65.1,,52.2,32.1,17.6,28.7,14.2,,,,
HPAP-037,Tail of pancreas,ROI3,173.8,88.5,,70.8,28.9,309.9,80.7,,76.3,18.3,,,,,,261.0,92.4,,62.2,19.1,277.0,107.2,,85.3,15.8,13.2,16.9,,14.8,331.9,96.1,,80.8,14.4,24.2,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-039,Body of pancreas,ROI3,35.3,38.7,,55.5,29.2,38.5,28.1,,56.4,31.2,,,,,,38.8,53.5,,41.8,21.3,46.8,51.2,,51.7,21.9,,,,,,,,,,,,,,,,,,,,,,,21.5,22.1,,21.0,25.4,43.9,45.4,,55.5,30.7,15.5,,,,,,
HPAP-039,Body of pancreas,ROI4,33.1,37.4,,40.5,36.4,35.8,27.2,,34.0,36.3,,,,,,40.0,36.6,,29.8,30.5,44.8,51.0,,34.4,24.2,,,,,,,,,,,,,,,,,,,,,,,26.2,28.3,,27.3,26.7,38.8,49.8,,37.6,30.9,18.5,,,,,,
HPAP-039,Body of pancreas,ROI5,37.0,34.2,,58.4,38.5,38.9,22.8,,50.1,41.5,,,,,,37.0,27.6,,52.0,31.9,39.4,36.1,,58.5,36.7,,,,,,,,,,,,21.6,21.0,,19.5,19.5,43.3,36.5,,63.5,43.8,16.0,20.5,22.3,,26.7,24.7,40.5,33.7,,65.3,40.0,18.8,,,,,23.8,19.6
HPAP-039,Head of pancreas,ROI1,32.4,32.3,211.5,26.9,18.6,44.4,24.4,175.9,23.7,21.0,28.0,17.2,240.7,22.8,13.7,37.9,29.3,207.4,21.5,18.5,37.9,33.0,204.2,23.3,15.8,,,,,,,,,,,,,,,,,,,,,,,105.5,111.3,94.9,117.0,109.1,44.8,32.9,169.2,28.7,25.2,23.0,,,,,,
HPAP-039,Head of pancreas,ROI2,44.5,42.3,,27.3,19.2,42.4,28.8,,33.2,24.6,,,,,,45.0,48.0,,25.3,18.2,42.7,50.4,,30.4,13.3,,,,,,,,,,,,58.4,57.1,,60.7,47.8,51.3,48.3,,40.0,20.1,16.8,53.9,52.2,,48.5,43.3,47.0,50.9,,31.1,18.1,38.7,,,,,47.2,42.3
HPAP-039,Head of pancreas,ROI4,35.8,54.2,,34.1,31.9,48.3,43.6,,32.3,35.0,,,,,,43.9,45.7,,31.6,30.9,52.9,56.0,,35.5,26.3,,,,,,,,,,,,34.3,22.6,,35.1,24.9,52.7,51.9,,41.0,32.2,15.2,,,,,,,,,,,,,,,,,
