donor,region,roi,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_macrophage,nn_cd4_t_to_other_immune,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_macrophage,nn_cd8_t_to_other_immune,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_macrophage,nn_b_cell_to_other_immune,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_macrophage,nn_macrophage_to_other_immune,nn_other_immune_to_cd4_t,nn_other_immune_to_cd8_t,nn_other_immune_to_b_cell,nn_other_immune_to_macrophage,nn_other_immune_to_other_immune,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_mdsc_to_other_immune,nn_other_immune_to_mdsc,nn_cd4_t_to_fibroblast,nn_cd8_t_to_fibroblast,nn_b_cell_to_fibroblast,nn_macrophage_to_fibroblast,nn_other_immune_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_macrophage,nn_fibroblast_to_other_immune,nn_fibroblast_to_fibroblast,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_macrophage_to_endothelial,nn_other_immune_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_macrophage,nn_endothelial_to_other_immune,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
HPAP-005,Tail of pancreas,ROI2,421.9,222.3,,294.9,281.9,421.0,208.4,,149.7,296.9,,,,,,366.4,219.6,,369.1,145.5,329.3,291.2,,224.6,147.3,50.6,30.1,,14.2,345.7,241.1,,198.8,34.3,170.4,25.6,,,,,,,,,,,,90.7,68.8,,39.3,20.8,339.1,259.2,,174.1,159.5,39.3,41.1,32.7,,,,
HPAP-006,Body of pancreas,ROI4,62.4,40.1,54.6,99.9,31.2,78.1,60.5,59.4,76.9,26.2,130.8,92.3,30.3,89.0,28.4,214.6,89.1,146.1,83.8,24.3,166.5,76.9,91.8,80.7,25.0,414.8,313.0,451.2,346.5,130.2,193.5,77.3,177.9,788.4,87.5,360.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Body of pancreas,ROI5,45.9,129.3,77.3,144.0,26.6,147.1,36.7,175.6,179.1,21.0,70.9,63.5,423.4,84.6,16.9,229.9,134.7,433.3,78.5,17.6,246.4,215.6,366.6,87.0,16.9,,,,,,,,,,,,,,,,,,,,,,,66.3,65.2,75.1,83.4,69.8,173.4,269.8,306.7,101.6,25.1,24.9,,,,,,
HPAP-006,Body of pancreas,ROI6,157.1,94.2,112.1,88.5,19.4,148.3,51.4,175.8,77.2,21.3,136.4,96.1,187.3,91.3,16.8,136.7,129.5,168.6,59.3,16.8,152.1,98.6,140.7,83.4,18.2,172.7,130.8,172.9,229.0,104.6,55.6,107.1,77.9,145.5,26.7,181.4,,,,,,,,,,,,261.8,247.5,486.7,338.3,410.0,116.7,78.8,69.1,160.4,47.0,16.0,234.3,157.6,,,,
HPAP-006,Head of pancreas,ROI1,55.9,49.8,33.0,49.7,12.4,50.6,41.1,47.2,44.4,15.5,40.0,51.8,22.1,42.9,15.7,82.9,66.8,79.9,42.9,15.6,70.6,77.4,72.9,50.0,13.2,108.3,119.1,150.6,195.7,32.4,39.8,68.4,55.3,19.7,16.0,158.7,50.1,65.1,78.3,41.2,40.7,276.9,124.2,171.3,49.7,16.7,14.6,118.3,106.1,35.3,117.7,109.4,99.1,98.0,33.5,50.4,28.7,11.9,112.4,143.3,36.0,355.8,161.9,82.6
HPAP-006,Head of pancreas,ROI2,131.0,74.1,52.8,57.9,19.7,144.2,93.5,57.1,39.6,17.9,162.4,87.3,13.2,47.6,28.6,146.5,80.0,61.2,32.1,17.8,159.4,87.5,87.5,52.9,14.4,358.9,327.1,197.5,294.5,149.7,25.8,60.1,37.4,229.6,21.0,351.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Head of pancreas,ROI3,82.5,66.9,60.1,70.6,15.8,108.2,60.7,85.0,47.9,22.3,124.9,63.5,13.8,80.7,22.9,124.2,127.1,76.1,40.0,16.9,123.5,125.0,62.9,52.5,14.8,136.1,214.4,97.2,221.7,91.2,77.0,38.4,103.6,119.6,15.4,154.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Tail of pancreas,ROI1,406.7,201.1,138.5,181.7,29.6,291.4,64.1,79.3,106.5,29.0,326.5,484.1,18.4,114.5,30.9,288.9,119.8,80.0,122.3,30.4,315.9,227.5,129.6,135.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Tail of pancreas,ROI2,,,,,,,83.6,110.3,144.6,19.0,,82.8,209.8,133.0,19.1,,268.5,168.7,113.8,22.7,,104.6,176.7,120.6,15.6,,244.9,401.9,295.5,,172.5,259.4,149.0,488.4,20.3,306.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPAP-006,Tail of pancreas,ROI3,,,,,,,356.0,,171.2,13.9,,,,,,,223.5,,106.9,18.8,,194.7,,82.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
