donor,region,roi,n_cells,unknown_frac,other_immune_frac,unresolved_frac
HPAP-040,Head of pancreas,ROI1,3560,0.18342696629213484,0.060393258426966294,0.24382022471910114
HPAP-046,Head of pancreas,ROI3,452,0.0,0.24557522123893805,0.24557522123893805
HPAP-026,Tail of pancreas,ROI3,1412,0.0679886685552408,0.17776203966005666,0.24575070821529746
HPAP-026,Head of pancreas,ROI2,526,0.0,0.24904942965779467,0.24904942965779467
HPAP-095,Head of pancreas,ROI3,4207,0.21107677680057046,0.04278583313525077,0.2538626099358212
HPAP-075,Head of pancreas,ROI3,5029,0.15510041757804732,0.10260489162855438,0.25770530920660173
HPAP-026,Tail of pancreas,ROI1,2414,0.23032311516155757,0.029411764705882353,0.2597348798674399
HPAP-034,Body of pancreas,ROI1,2600,0.08884615384615385,0.17153846153846153,0.2603846153846154
HPAP-027,Head of pancreas,ROI1,980,0.2530612244897959,0.009183673469387756,0.26224489795918365
HPAP-039,Body of pancreas,ROI4,2260,0.15265486725663716,0.10973451327433628,0.26238938053097344
HPAP-074,Body of pancreas,ROI1,3872,0.0,0.265495867768595,0.265495867768595
HPAP-039,Body of pancreas,ROI5,4523,0.23369445058589433,0.03227946053504311,0.26597391112093743
HPAP-105,Body of pancreas,ROI5,3601,0.228547625659539,0.03804498750347126,0.26659261316301025
HPAP-047,Body of pancreas,ROI3,2049,0.0,0.2742801366520254,0.2742801366520254
HPAP-034,Body of pancreas,ROI3,3667,0.20343605126806655,0.07390237251158986,0.2773384237796564
HPAP-082,Head of pancreas,ROI2,4320,0.2534722222222222,0.025231481481481483,0.2787037037037037
HPAP-075,Tail of pancreas,ROI6,8183,0.0,0.2841256262984236,0.2841256262984236
HPAP-146,Body of pancreas,ROI4,4554,0.11484409310496267,0.1741326306543698,0.2889767237593325
HPAP-042,Tail of pancreas,ROI2,1874,0.0,0.2902881536819637,0.2902881536819637
HPAP-037,Body of pancreas,ROI3,4286,0.20881941203919738,0.08609426038264116,0.2949136724218385
HPAP-093,Tail of pancreas,ROI2,4406,0.0,0.2952791647753064,0.2952791647753064
HPAP-034,Head of pancreas,ROI3,3805,0.16662286465177398,0.12956636005256242,0.2961892247043364
HPAP-005,Body of pancreas,ROI3,2055,0.0,0.297323600973236,0.297323600973236
HPAP-063,Body of pancreas,ROI2,2517,0.11839491458085022,0.1799761620977354,0.29837107667858564
HPAP-005,Head of pancreas,ROI1,4842,0.14539446509706733,0.15386204047914084,0.2992565055762082
HPAP-040,Head of pancreas,ROI2,3095,0.20484652665589662,0.0949919224555735,0.2998384491114701
HPAP-082,Tail of pancreas,ROI3,4219,0.09528324247452002,0.20549893339653946,0.3007821758710595
