donor,region,roi,panel,area_mm2,n_cells,density_Endothelial,density_Fibroblast,density_Macrophage,density_CD8 T,density_CD4 T,density_Treg,density_B cell,density_NK,density_Monocyte,density_DC,density_Myeloid (other),density_Parenchyma,density_ambiguous
HPAP-004,Body of pancreas,ROI1,CD11b,0.999999,8253,418.000418000418,1419.001419001419,231.000231000231,46.000046000046,30.00003000003,10.00001000001,25.000025000025,22.000022000022,153.000153000153,43.000043000043,43.000043000043,5776.005776005776,37.000037000037004
HPAP-004,Body of pancreas,ROI3,CD11b,0.999999,7630,974.000974000974,820.00082000082,1212.001212001212,249.000249000249,113.000113000113,93.000093000093,94.00009400009401,102.000102000102,91.000091000091,17.000017000017,51.000051000051,3547.0035470035473,267.000267000267
HPAP-004,Body of pancreas,ROI4,CD11b,1.003002,8598,541.3747928717988,1382.8486882379098,267.1978719882912,23.928167640742494,31.90422352098999,25.922181610804365,51.84436322160873,15.952111760494995,134.59594297917653,49.85034925154686,57.82640513179436,5957.11673555985,31.90422352098999
HPAP-004,Head of pancreas,ROI1,CD11b,1.001,8218,416.58341658341664,1068.9310689310691,250.74925074925076,22.97702297702298,35.964035964035965,82.91708291708292,33.96603396603397,25.974025974025977,188.81118881118883,39.960039960039964,63.936063936063945,5928.071928071929,50.94905094905096
HPAP-004,Head of pancreas,ROI2,CD11b,0.999,6819,292.2922922922923,1819.8198198198197,220.22022022022023,72.07207207207207,58.05805805805806,17.017017017017018,21.02102102102102,22.02202202202202,64.06406406406407,41.04104104104104,36.03603603603604,4131.131131131131,31.03103103103103
HPAP-004,Head of pancreas,ROI3,CD11b,1.004003,8034,308.7640176373975,1587.6446584322955,317.72813427848325,62.74881648760014,34.8604536042223,36.852479524463575,15.936207361930194,21.912285122654016,90.63717937097798,66.73286832808269,61.7528035274795,5363.52979024963,32.868427683981025
HPAP-004,Tail of pancreas,ROI1,CD11b,1.001,7684,509.49050949050957,1476.5234765234766,150.84915084915087,29.970029970029973,30.96903096903097,18.981018981018984,27.972027972027973,7.992007992007993,93.90609390609391,23.976023976023978,27.972027972027973,5259.740259740261,17.982017982017982
HPAP-004,Tail of pancreas,ROI2,CD11b,1.001,9335,1142.857142857143,852.1478521478523,162.83716283716285,29.970029970029973,22.97702297702298,27.972027972027973,26.973026973026975,10.98901098901099,134.86513486513488,11.988011988011989,28.971028971028975,6846.153846153847,26.973026973026975
HPAP-004,Tail of pancreas,ROI3,CD11b,1.001,9120,2286.713286713287,732.2677322677323,147.85214785214788,39.960039960039964,35.964035964035965,16.983016983016984,20.97902097902098,6.993006993006993,79.92007992007993,10.98901098901099,13.986013986013987,5688.311688311689,29.970029970029973
HPAP-005,Body of pancreas,ROI1,CD11b,1.0,4833,277.0,790.0,63.0,94.0,57.0,67.0,72.0,51.0,668.0,14.0,147.0,2316.0,217.0
HPAP-005,Body of pancreas,ROI2,CD11b,1.002001,5698,349.30104860174794,1036.925112849189,74.85022470037455,14.970044940074912,85.82825765642949,122.75436850861428,64.87019474032462,61.87618575230963,918.1627563245945,9.98002996004994,84.8302546604245,2593.8097866169796,268.4628059253434
HPAP-005,Body of pancreas,ROI3,CD11b,1.002001,4700,265.4687969373284,923.1527713046195,36.926110852184785,5.9880179760299646,81.83624567240952,96.80629061248443,68.86220672434459,56.886170772284665,688.6220672434459,1.9960059920099882,146.70644041273414,2094.8082886144825,222.5546681091137
HPAP-005,Head of pancreas,ROI1,CD11b,1.002001,6800,408.18322536604256,1576.8447336878908,5.9880179760299646,0.0,0.0,0.0,11.976035952059929,8.982026964044946,42.91412882821474,1.9960059920099882,30.938092876154816,4698.598105191512,0.0
HPAP-005,Head of pancreas,ROI2,CD11b,1.001,6366,390.60939060939063,1631.3686313686314,1.9980019980019983,1.9980019980019983,0.0,0.0,1.9980019980019983,6.993006993006993,28.971028971028975,0.9990009990009991,27.972027972027973,4254.745254745255,11.988011988011989
HPAP-005,Head of pancreas,ROI3,CD11b,1.001,4863,235.7642357642358,1323.6763236763238,9.990009990009991,9.990009990009991,0.9990009990009991,6.993006993006993,0.0,1.9980019980019983,9.990009990009991,0.9990009990009991,12.987012987012989,3234.765234765235,9.990009990009991
HPAP-005,Tail of pancreas,ROI1,CD11b,1.0,1352,104.0,300.0,8.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,926.0,3.0
HPAP-005,Tail of pancreas,ROI2,CD11b,1.0,1752,130.0,313.0,37.0,1.0,3.0,5.0,5.0,4.0,30.0,2.0,4.0,1202.0,16.0
HPAP-006,Body of pancreas,ROI4,CD11b,1.001,3337,254.74525474525478,482.51748251748256,57.94205794205795,51.948051948051955,8.991008991008991,16.983016983016984,10.98901098901099,15.984015984015986,44.95504495504496,0.0,9.990009990009991,2369.63036963037,8.991008991008991
HPAP-006,Body of pancreas,ROI5,CD11b,1.0,5816,527.0,798.0,76.0,76.0,1.0,23.0,5.0,17.0,33.0,7.0,9.0,4225.0,19.0
HPAP-006,Body of pancreas,ROI6,CD11b,1.002001,4570,450.09935119825235,653.6919623832712,47.904143808239716,60.87818275630464,2.9940089880149823,1.9960059920099882,3.9920119840199764,2.9940089880149823,24.950074900124854,1.9960059920099882,5.9880179760299646,3297.4018988005005,5.9880179760299646
HPAP-006,Head of pancreas,ROI1,CD11b,1.00028,5637,401.88747150797775,703.80293517815,102.97116807293958,44.98740352701243,23.993281881073298,35.989922821609944,57.98376454592714,27.992162194585514,126.96444995401286,0.9997200783780541,3.9988803135122164,4075.8587595473264,27.992162194585514
HPAP-006,Head of pancreas,ROI2,CD11b,0.999999,4018,347.000347000347,461.00046100046103,81.000081000081,47.000047000047005,9.000009000009,9.000009000009,29.000029000029002,12.000012000012001,57.000057000057005,1.000001000001,6.0000060000060005,2953.0029530029533,6.0000060000060005
HPAP-006,Head of pancreas,ROI3,CD11b,1.1,5239,357.27272727272725,627.2727272727273,110.9090909090909,73.63636363636363,10.909090909090908,20.909090909090907,17.27272727272727,17.27272727272727,46.36363636363636,5.454545454545454,8.181818181818182,3437.272727272727,29.999999999999996
HPAP-006,Tail of pancreas,ROI1,CD11b,1.002001,2132,198.60259620499383,199.60059920099883,16.9660509320849,39.92011984019976,0.9980029960049941,0.9980029960049941,7.984023968039953,0.9980029960049941,6.986020972034958,1.9960059920099882,3.9920119840199764,1634.7289074561804,13.972041944069916
HPAP-006,Tail of pancreas,ROI2,CD11b,1.001,2822,160.83916083916085,429.5704295704296,19.980019980019982,31.968031968031973,0.9990009990009991,0.9990009990009991,0.0,0.9990009990009991,7.992007992007993,0.9990009990009991,0.9990009990009991,2162.837162837163,0.9990009990009991
HPAP-006,Tail of pancreas,ROI3,CD11b,1.001,2135,108.8911088911089,303.69630369630374,33.96603396603397,28.971028971028975,0.0,4.9950049950049955,1.9980019980019983,5.994005994005994,3.9960039960039966,0.0,2.997002997002997,1634.3656343656346,2.997002997002997
HPAP-011,Body of pancreas,ROI1,CD11b,0.999999,4241,1850.00185000185,547.000547000547,72.000072000072,14.000014000014,7.000007000007,1.000001000001,2.000002000002,1.000001000001,12.000012000012001,8.000008000008,12.000012000012001,1705.001705001705,10.00001000001
HPAP-011,Body of pancreas,ROI2,CD11b,1.002001,2584,1158.681478361798,229.54068908114863,32.9340988681648,8.982026964044946,6.986020972034958,0.0,0.9980029960049941,3.9920119840199764,18.962056924094888,2.9940089880149823,9.98002996004994,1094.8092866174786,9.98002996004994
HPAP-011,Body of pancreas,ROI3,CD11b,1.002001,1625,48.90214680424471,186.6265602529339,16.9660509320849,4.99001498002497,2.9940089880149823,0.9980029960049941,2.9940089880149823,2.9940089880149823,8.982026964044946,1.9960059920099882,5.9880179760299646,1330.3379936746571,6.986020972034958
HPAP-011,Head of pancreas,ROI1,CD11b,1.001,1876,138.86113886113887,187.81218781218783,46.95304695304696,75.92407592407594,14.985014985014987,18.981018981018984,11.988011988011989,27.972027972027973,255.74425574425578,6.993006993006993,43.95604395604396,985.0149850149851,58.94105894105895
HPAP-011,Head of pancreas,ROI2,CD11b,1.0,3631,1273.0,450.0,107.0,54.0,9.0,4.0,1.0,2.0,45.0,6.0,10.0,1657.0,13.0
HPAP-011,Head of pancreas,ROI3,CD11b,1.0,2296,671.0,354.0,32.0,5.0,7.0,1.0,2.0,1.0,5.0,2.0,2.0,1210.0,4.0
HPAP-011,Tail of pancreas,ROI1,CD11b,0.999,2979,340.34034034034033,403.4034034034034,42.04204204204204,10.01001001001001,11.01101101101101,0.0,4.004004004004004,3.003003003003003,11.01101101101101,3.003003003003003,2.002002002002002,2142.1421421421423,10.01001001001001
HPAP-011,Tail of pancreas,ROI2,CD11b,1.2012,4680,416.2504162504162,472.86047286047284,89.07758907758907,19.98001998001998,19.98001998001998,7.492507492507492,4.995004995004995,2.4975024975024973,15.817515817515817,4.995004995004995,1.665001665001665,2822.1778221778222,18.315018315018314
HPAP-011,Tail of pancreas,ROI3,CD11b,1.2,4931,532.5,455.0,99.16666666666667,12.5,6.666666666666667,2.5,6.666666666666667,0.8333333333333334,20.0,5.0,0.8333333333333334,2944.166666666667,23.333333333333336
HPAP-012,Body of pancreas,ROI1,CD11b,1.004003,10119,579.6795427902108,851.5910809031448,182.2703717020766,32.868427683981025,26.892349923257203,2.9880388803619113,7.968103680965097,23.90431104289529,69.7209072084446,7.968103680965097,24.90032400301593,8241.011232038152,26.892349923257203
HPAP-012,Body of pancreas,ROI2,CD11b,1.001,7159,351.6483516483517,810.1898101898103,57.94205794205795,55.94405594405595,22.97702297702298,1.9980019980019983,1.9980019980019983,0.0,18.981018981018984,3.9960039960039966,14.985014985014987,5796.203796203797,14.985014985014987
HPAP-012,Body of pancreas,ROI3,CD11b,1.001,8778,524.4755244755245,844.1558441558442,53.94605394605395,44.95504495504496,24.97502497502498,5.994005994005994,0.9990009990009991,12.987012987012989,22.97702297702298,5.994005994005994,28.971028971028975,7188.81118881119,9.990009990009991
HPAP-012,Head of pancreas,ROI1,CD11b,1.15115,8750,573.3397037744865,1282.1960648047607,122.4862094427312,19.11132345914955,17.37393041740868,1.737393041740868,8.68696520870434,0.0,46.909612127003435,6.0808756460930375,6.0808756460930375,5501.455066672458,15.636537375667812
HPAP-012,Head of pancreas,ROI2,CD11b,1.002,3085,653.692614770459,363.27345309381235,47.90419161676647,145.70858283433134,28.942115768463072,18.962075848303392,3.992015968063872,1.996007984031936,34.930139720558884,0.998003992015968,6.986027944111776,1756.4870259481038,14.970059880239521
HPAP-012,Head of pancreas,ROI3,CD11b,1.004004,7664,445.2173497316744,1624.4955199381677,113.54536436109818,26.89232313815483,10.956131648877895,2.9880359042394256,3.984047872319234,5.976071808478851,35.85643085087311,13.94416755311732,18.92422739351636,5318.703909546178,11.952143616957702
HPAP-012,Tail of pancreas,ROI1,CD11b,1.002,8917,544.9101796407185,964.0718562874251,91.81636726546907,38.92215568862275,19.960079840319363,0.998003992015968,8.982035928143713,4.990019960079841,31.936127744510976,11.976047904191617,7.984031936127744,7154.690618762475,17.964071856287426
HPAP-012,Tail of pancreas,ROI2,CD11b,1.003002,6587,305.0841374194668,893.3182585877197,291.12603962903364,57.82640513179436,23.928167640742494,1.9940139700618744,14.955104775464058,9.970069850309372,18.943132715587808,7.976055880247498,16.949118745525933,4903.280352382149,21.93415367068062
HPAP-012,Tail of pancreas,ROI3,CD11b,1.003002,9023,550.3478557370773,1051.8423692076387,203.38942494631118,27.91619558086624,13.95809779043312,6.97904889521656,11.964083820371247,16.949118745525933,65.80246101204186,12.961090805402183,20.93714668564968,6985.030937126746,27.91619558086624
HPAP-014,Body of pancreas,ROI1,CD11b,1.001,3801,236.7632367632368,780.2197802197803,47.952047952047955,56.94305694305695,16.983016983016984,7.992007992007993,2.997002997002997,7.992007992007993,31.968031968031973,1.9980019980019983,1.9980019980019983,2590.4095904095907,12.987012987012989
HPAP-014,Body of pancreas,ROI2,CD11b,1.002001,7068,420.1592613181025,1326.3459816906372,86.82626065243448,56.886170772284665,10.978032956054935,0.9980029960049941,16.9660509320849,28.942086884144828,58.88217676429465,14.970044940074912,23.952071904119858,5002.989018973035,4.99001498002497
HPAP-014,Body of pancreas,ROI3,CD11b,1.002,5656,388.2235528942116,1265.4690618762475,66.86626746506985,47.90419161676647,7.984031936127744,0.998003992015968,5.9880239520958085,11.976047904191617,23.952095808383234,6.986027944111776,13.972055888223553,3800.3992015968065,3.992015968063872
HPAP-014,Head of pancreas,ROI1,CD11b,1.0,6183,427.0,1698.0,60.0,59.0,18.0,5.0,8.0,8.0,45.0,8.0,15.0,3817.0,15.0
