agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,20,25,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,2,20,22,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,3,20,23,23,PROGENITOR,divideCD=5;divideFlag=1
CANCER,4,21,22,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,5,21,23,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,6,21,23,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,7,20,23,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,8,21,24,22,PROGENITOR,divideCD=5;divideFlag=1
CANCER,9,20,24,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,10,21,24,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,11,21,24,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,12,20,24,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,13,20,25,22,PROGENITOR,divideCD=5;divideFlag=1
CANCER,14,20,25,23,PROGENITOR,divideCD=5;divideFlag=1
CANCER,15,20,25,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,16,21,25,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,17,21,25,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,18,20,25,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,19,21,24,28,PROGENITOR,divideCD=5;divideFlag=1
CANCER,20,21,26,22,PROGENITOR,divideCD=5;divideFlag=1
CANCER,21,20,26,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,22,20,26,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,23,20,26,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,24,21,27,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,25,21,27,22,PROGENITOR,divideCD=5;divideFlag=1
CANCER,26,20,27,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,27,20,27,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,28,20,27,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,29,21,27,28,PROGENITOR,divideCD=5;divideFlag=1
CANCER,30,20,28,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,31,22,20,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,32,21,22,23,PROGENITOR,divideCD=5;divideFlag=1
CANCER,33,22,22,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,34,22,22,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,35,22,21,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,36,21,22,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,37,22,23,21,PROGENITOR,divideCD=5;divideFlag=1
CANCER,38,22,23,23,PROGENITOR,divideCD=5;divideFlag=1
CANCER,39,22,23,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,40,22,23,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,41,22,23,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,42,22,23,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,43,21,23,28,PROGENITOR,divideCD=5;divideFlag=1
CANCER,44,22,24,22,PROGENITOR,divideCD=5;divideFlag=1
CANCER,45,21,24,23,PROGENITOR,divideCD=5;divideFlag=1
CANCER,46,22,24,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,47,22,24,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,48,22,24,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,49,22,24,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,50,22,24,29,PROGENITOR,divideCD=5;divideFlag=1
CANCER,51,22,24,21,PROGENITOR,divideCD=5;divideFlag=1
CANCER,52,22,25,21,PROGENITOR,divideCD=5;divideFlag=1
CANCER,53,21,25,23,PROGENITOR,divideCD=5;divideFlag=1
CANCER,54,22,25,24,PROGENITOR,divideCD=5;divideFlag=1
CANCER,55,22,25,25,PROGENITOR,divideCD=5;divideFlag=1
CANCER,56,22,25,26,PROGENITOR,divideCD=5;divideFlag=1
CANCER,57,22,25,27,PROGENITOR,divideCD=5;divideFlag=1
CANCER,58,22,26,28,PROGENITOR,divideCD=5;divideFlag=1
CANCER,59,22,25,30,PROGENITOR,divideCD=5;divideFlag=1
CANCER,60,22,26,21,PROGENITOR,divideCD=5;divideFlag=1
