agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,19,22,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,2,20,23,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,3,19,27,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,4,21,22,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,5,19,25,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,6,23,23,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,7,18,26,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,8,22,20,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,9,18,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,10,21,25,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,11,20,26,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,12,18,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,13,20,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,14,20,24,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,15,19,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,16,21,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,17,21,26,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,18,19,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,19,20,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,20,22,27,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,21,21,26,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,22,19,28,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,23,18,27,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,24,21,28,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,25,19,28,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,26,19,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,27,22,28,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,28,21,30,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,29,19,28,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,30,23,29,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,31,23,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,32,22,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,33,23,19,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,34,20,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,35,20,19,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,36,21,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,37,21,21,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,38,20,23,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,39,20,24,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,40,22,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,41,19,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,42,20,21,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,43,20,23,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,44,22,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,45,22,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,46,23,25,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,47,20,23,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,48,21,24,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,49,21,25,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,50,23,23,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,51,24,22,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,52,21,25,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,53,21,24,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,54,20,25,24,PROGENITOR,divideCD=0;divideFlag=1
