agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,18,21,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,2,20,23,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,3,18,27,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,4,19,22,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,5,18,26,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,6,23,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,7,18,25,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,8,22,19,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,9,18,23,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,10,21,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,11,19,27,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,12,17,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,13,18,24,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,14,20,24,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,15,19,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,16,21,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,17,21,26,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,18,19,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,19,19,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,20,22,26,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,21,21,26,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,22,18,28,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,23,16,28,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,24,21,28,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,25,19,30,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,26,18,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,27,21,28,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,28,19,31,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,29,18,30,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,30,23,29,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,31,24,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,32,21,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,33,20,17,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,34,20,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,35,20,19,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,36,21,22,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,37,20,21,21,PROGENITOR,divideCD=0;divideFlag=1
