agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,19,22,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,2,21,23,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,3,19,26,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,4,20,22,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,5,19,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,6,23,23,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,7,19,26,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,8,21,20,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,9,18,24,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,10,20,25,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,11,20,26,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,12,19,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,13,20,25,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,14,19,24,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,15,19,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,16,21,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,17,21,26,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,18,20,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,19,20,23,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,20,22,26,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,21,21,26,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,22,19,28,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,23,18,27,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,24,21,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,25,19,28,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,26,20,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,27,22,28,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,28,21,29,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,29,19,27,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,30,22,29,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,31,22,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,32,21,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,33,23,19,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,34,21,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,35,20,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,36,22,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,37,21,22,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,38,20,23,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,39,21,24,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,40,22,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,41,19,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,42,21,21,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,43,21,23,29,PROGENITOR,divideCD=0;divideFlag=1
