agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,19,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,2,21,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,3,19,25,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,4,20,22,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,5,19,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,6,22,23,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,7,19,25,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,8,21,21,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,9,18,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,10,20,25,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,11,20,26,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,12,19,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,13,20,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,14,20,24,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,15,20,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,16,22,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,17,22,26,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,18,21,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,19,20,23,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,20,23,26,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,21,21,26,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,22,20,28,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,23,19,27,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,24,20,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,25,19,28,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,26,20,27,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,27,22,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,28,21,28,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,29,20,27,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,30,21,29,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,31,21,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,32,21,21,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,33,23,20,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,34,21,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,35,19,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,36,23,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,37,21,22,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,38,21,23,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,39,21,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,40,22,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,41,20,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,42,21,21,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,43,21,23,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,44,22,24,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,45,22,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,46,23,25,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,47,20,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,48,21,24,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,49,21,25,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,50,23,23,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,51,24,24,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,52,22,25,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,53,21,25,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,54,20,25,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,55,21,24,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,56,22,26,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,57,23,27,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,58,22,25,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,59,25,24,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,60,22,26,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,61,20,26,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,62,23,29,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,63,24,26,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,64,19,26,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,65,21,25,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,66,21,26,31,PROGENITOR,divideCD=0;divideFlag=1
CANCER,67,22,29,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,68,21,26,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,69,19,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,70,22,27,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,71,21,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,72,22,26,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,73,20,30,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,74,23,29,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,75,21,28,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,76,21,30,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,77,22,29,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,78,21,26,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,79,23,31,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,80,22,19,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,81,22,18,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,82,20,19,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,83,23,20,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,84,23,21,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,85,24,20,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,86,23,22,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,87,22,22,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,88,21,22,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,89,21,21,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,90,23,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,91,22,20,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,92,22,22,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,93,22,23,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,94,23,22,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,95,23,23,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,96,22,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,97,24,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,98,21,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,99,23,22,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,100,22,23,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,101,21,25,19,PROGENITOR,divideCD=0;divideFlag=1
CANCER,102,24,25,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,103,24,26,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,104,23,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,105,23,24,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,106,23,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,107,22,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,108,22,24,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,109,24,24,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,110,24,25,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,111,23,25,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,112,22,25,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,113,23,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,114,22,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,115,23,25,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,116,21,25,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,117,22,25,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,118,23,26,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,119,23,27,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,120,21,27,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,121,23,27,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,122,22,25,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,123,24,26,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,124,23,26,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,125,23,27,27,PROGENITOR,divideCD=0;divideFlag=1
