agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,19,24,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,2,20,23,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,3,19,24,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,4,20,22,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,5,19,24,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,6,22,23,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,7,19,25,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,8,21,22,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,9,18,24,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,10,20,25,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,11,20,25,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,12,19,24,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,13,20,25,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,14,20,24,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,15,20,26,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,16,23,24,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,17,21,26,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,18,21,24,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,19,20,24,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,20,22,26,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,21,20,26,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,22,20,27,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,23,20,27,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,24,20,28,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,25,20,28,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,26,20,28,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,27,21,27,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,28,22,28,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,29,20,26,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,30,20,29,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,31,21,20,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,32,22,21,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,33,23,21,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,34,21,23,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,35,19,20,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,36,23,23,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,37,21,22,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,38,21,23,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,39,21,24,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,40,22,24,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,41,20,22,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,42,21,22,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,43,21,23,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,44,22,24,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,45,23,24,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,46,23,25,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,47,20,24,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,48,22,24,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,49,21,25,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,50,23,23,30,PROGENITOR,divideCD=1;divideFlag=1
CANCER,51,23,24,20,PROGENITOR,divideCD=1;divideFlag=1
CANCER,52,22,25,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,53,21,25,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,54,20,25,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,55,21,24,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,56,22,25,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,57,22,27,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,58,22,25,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,59,24,24,31,PROGENITOR,divideCD=1;divideFlag=1
CANCER,60,22,26,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,61,20,26,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,62,23,28,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,63,23,26,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,64,20,26,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,65,21,25,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,66,21,25,31,PROGENITOR,divideCD=1;divideFlag=1
CANCER,67,22,29,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,68,21,26,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,69,19,27,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,70,22,27,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,71,21,27,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,72,22,26,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,73,20,29,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,74,22,29,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,75,21,28,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,76,21,30,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,77,21,29,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,78,21,27,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,79,23,31,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,80,22,20,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,81,22,19,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,82,20,20,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,83,23,20,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,84,23,22,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,85,23,20,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,86,23,21,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,87,23,22,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,88,22,22,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,89,21,21,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,90,23,23,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,91,22,21,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,92,21,22,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,93,23,23,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,94,24,22,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,95,23,23,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,96,22,23,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,97,24,21,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,98,21,23,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,99,23,22,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,100,22,22,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,101,21,25,19,PROGENITOR,divideCD=1;divideFlag=1
CANCER,102,24,24,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,103,24,26,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,104,23,24,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,105,23,24,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,106,23,23,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,107,22,24,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,108,21,24,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,109,24,24,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,110,23,25,20,PROGENITOR,divideCD=1;divideFlag=1
CANCER,111,23,25,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,112,22,26,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,113,23,25,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,114,22,25,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,115,23,26,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,116,21,25,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,117,22,25,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,118,23,25,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,119,24,27,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,120,22,27,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,121,22,27,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,122,22,25,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,123,24,26,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,124,23,26,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,125,23,27,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,126,24,26,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,127,22,27,30,PROGENITOR,divideCD=1;divideFlag=1
CANCER,128,21,27,18,PROGENITOR,divideCD=1;divideFlag=1
CANCER,129,23,26,21,PROGENITOR,divideCD=1;divideFlag=1
CANCER,130,23,27,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,131,23,29,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,132,22,28,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,133,23,28,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,134,22,27,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,135,24,27,29,PROGENITOR,divideCD=1;divideFlag=1
CANCER,136,21,28,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,137,22,30,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,138,23,30,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,139,24,26,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,140,23,30,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,141,23,29,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,142,22,28,30,PROGENITOR,divideCD=1;divideFlag=1
CANCER,143,23,29,28,PROGENITOR,divideCD=1;divideFlag=1
CANCER,144,23,28,22,PROGENITOR,divideCD=1;divideFlag=1
CANCER,145,23,32,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,146,24,31,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,147,23,30,26,PROGENITOR,divideCD=1;divideFlag=1
CANCER,148,23,31,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,149,28,21,24,PROGENITOR,divideCD=1;divideFlag=1
CANCER,150,25,20,23,PROGENITOR,divideCD=1;divideFlag=1
CANCER,151,23,19,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,152,24,22,25,PROGENITOR,divideCD=1;divideFlag=1
CANCER,153,24,20,27,PROGENITOR,divideCD=1;divideFlag=1
CANCER,154,25,23,21,PROGENITOR,divideCD=1;divideFlag=1
