step,total_ms,pde_ms,qsp_ms,abm_ms
0,489.05,45.6569,127.488,315.905
1,731.798,45.0072,11.7585,675.032
2,549.808,44.8009,9.74822,495.259
3,470.446,46.3032,15.856,408.287
4,370.29,44.947,18.0403,307.303
5,536.262,44.5819,10.1439,481.537
6,343.65,44.6314,8.98471,290.034
7,495.553,46.703,10.0914,438.758
8,496.976,44.5011,20.0294,432.446
9,546.423,44.6263,15.9553,485.841
10,484.871,45.1238,14.7445,425.003
11,448.977,46.4154,14.3549,388.207
12,554.397,44.5277,21.3341,488.535
13,435.685,45.8476,16.1298,373.708
14,437.279,44.7331,17.1706,375.375
15,506.463,44.6895,16.4275,445.346
16,522.582,44.683,20.1739,457.725
17,487.169,44.8741,14.8059,427.489
18,355.495,44.0721,16.5353,294.887
19,360.023,44.4944,14.0414,301.487
20,364.176,45.6437,21.6597,296.873
21,370.572,44.6081,16.6147,309.349
22,356.649,44.4127,16.2485,295.988
