step,total_ms,pde_ms,qsp_ms,abm_ms
0,1623.1,288.938,129.233,1204.93
1,1921.53,284.77,11.9713,1624.79
2,1646.98,284.584,10.6054,1351.79
3,1667.61,284.961,11.5455,1371.1
4,1747.36,285.287,19.3498,1442.72
5,1712.02,284.248,10.9333,1416.83
6,1723.07,284.745,11.9737,1426.35
7,1698.79,283.992,13.6389,1401.16
8,1748.2,284.784,20.6137,1442.8
9,1733.96,284.9,16.1126,1432.95
10,1755.13,284.183,17.1832,1453.77
11,1729.24,283.927,14.6282,1430.69
12,1733.55,284.118,23.4517,1425.98
13,1714.68,285.6,15.0147,1414.07
14,1775.4,284.613,15.8881,1474.9
15,1772.18,287.873,15.6242,1468.68
16,1781.19,287.783,22.9329,1470.47
17,1744.95,287.418,15.3358,1442.2
18,1742.59,286.367,15.8092,1440.42
19,1760.69,285.542,17.6577,1457.49
20,1800.24,286.118,20.1128,1494.01
21,1767.87,285.792,18.7391,1463.34
22,1765.02,285.102,15.0195,1464.9
