name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
f_apCAF_of_total,0.1,dimensionless,beta,2.0,18.0,,
f_iCAF_of_non_apCAF,0.222,dimensionless,beta,2.0,7.0,,
k_CXCL12_sec_cancer,5e-11,nanomolarity*liter/(cell*day),lognormal,-23.7189981105004,1.2,,
k_Th_pro_tumor,0.15,1/day,lognormal,-1.8971199848858813,0.8,,
rho_Th_max,5000000.0,cell/milliliter,lognormal,15.424948470398377,0.7,,
k_CD8_T_pro,0.05,1/day,lognormal,-2.995732273553991,2.0,,
rho_CD8_max,10000000.0,cell/milliliter,lognormal,16.11809565095832,1.0,,
K_apCAF_Treg,100000000.0,cell,lognormal,18.420680743952367,1.0,,
P1_50_apCAF,1e-09,molarity,lognormal,-20.72326583694641,1.2,,
f_nTreg,0.25,dimensionless,lognormal,-1.3862943611198906,0.5,0.01,0.95
vol_qPSCcell,1500.0,micrometer^3/cell,lognormal,7.313220387090301,0.3,,
vol_iCAFcell,2000.0,micrometer^3/cell,lognormal,7.600902459542082,0.3,,
vol_myCAFcell,3500.0,micrometer^3/cell,lognormal,8.160518247979754,0.3,,
vol_apCAFcell,2500.0,micrometer^3/cell,lognormal,7.824046010856293,0.3,,
k_CXCL12_deg,2.0,1/day,lognormal,0.6931471805599453,0.5,,
k_IL6_deg,16.0,1/day,lognormal,2.772588722239781,0.5,,
d_crit_APC,2.1,micrometer,lognormal,0.7419373447293773,0.5,,
k_IL1_sec,1e-12,nanomole/(cell*day),lognormal,-27.631021115928547,1.0,,
k_IL1_deg,6.93,1/day,lognormal,1.935859813201812,0.5,,
IL1_50,0.01,nanomolarity,lognormal,-4.605170185988091,1.0,,
n_IL1,1.0,dimensionless,lognormal,0.0,0.5,,
TGFb_50_IL1R1,0.07,nanomolarity,lognormal,-2.659260036932778,0.7,,
Emax_IL1R1,5.0,dimensionless,lognormal,1.6094379124341003,0.7,,
TGFb_50_CAF_act,0.07,nanomolarity,lognormal,-2.659260036932778,0.7,,
TGFb_50_col_sec,0.07,nanomolarity,lognormal,-2.659260036932778,0.7,,
k_cDC1_Ag_transfer,1e-7,1/(cell*day),lognormal,-16.118095650958321,1.0,,
alpha_Th_cap,5.0,dimensionless,lognormal,1.6094379124341003,0.5,,
CD8_50_Tcap,100000.0,cell,lognormal,11.512925464970229,1.0,,
p1_50,2.6455e-05,molecule/micrometer^2,lognormal,-10.540065381608,1.0,,
f_active_TGFb,0.1,dimensionless,lognormal,-2.302585092994046,0.7,,
Ve_T,0.37,dimensionless,lognormal,-0.9942522733438669,0.5,,
k_Th_basal_exh,0.05,1/day,lognormal,-2.995732273553991,1.0,,
k_TGFb_Th_exh,0.3,1/day,lognormal,-1.2039728043259361,1.0,,
TGFb_50_Th_exh,0.14,nanomolarity,lognormal,-1.9661128563728327,1.0,,
