name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
PARAM_VAS_COLLAPSE_EC50,850,nmol/mL,lognormal,6.745236,0.4,,
PARAM_VAS_RECOVERY_THRESHOLD,600,nmol/mL,uniform,300,900,300,900
PARAM_VAS_RECOVERY_RATE,0.05,,lognormal,-2.995732,0.7,,
PARAM_VAS_KVL_DYSFUNCTIONAL,0.2,,lognormal,-1.609438,0.7,,
PARAM_VAS_HYPOXIA_TH,0.01,,lognormal,-4.605170,0.7,,
PARAM_VAS_HEV_CCL21_TH,5.0,,lognormal,1.609438,0.7,,
PARAM_VAS_HEV_LYMPH_DENSITY_TH,8000.0,,lognormal,8.987197,0.7,,
PARAM_VAS_HEV_RECRUIT_BOOST,5.0,,lognormal,1.609438,0.7,,
PARAM_VAS_HEV_REVERT_CCL21_TH,0.5,,lognormal,-0.693147,0.7,,
PARAM_FIB_MOVE_STEPS,8,,lognormal,2.079442,0.7,,
PARAM_FIB_ECM_RADIUS,3,,lognormal,1.098612,0.7,,
PARAM_FIB_ECM_VARIANCE,2.0,,lognormal,0.693147,0.7,,
PARAM_FIB_DIV_MAX,10,,lognormal,2.302585,0.7,,
PARAM_FIB_HYPOXIA_TH,0.01,mM,lognormal,-4.605170,0.7,,
PARAM_FIB_HIF_TGFB_BOOST,3.0,,lognormal,1.098612,0.7,,
PARAM_FIB_HIF_ECM_BOOST,2.17,,lognormal,0.774727,0.7,,
PARAM_FIB_FRC_LYMPH_THRESHOLD,8,,uniform,4,12,4,12
PARAM_FIB_FRC_DWELL_STEPS,4,,lognormal,1.386294,0.7,,
PARAM_VOXEL_CAPACITY,8000.0,um3,lognormal,8.987197,0.7,,
PARAM_VOLUME_CANCER_STEM,3053.0,um3,lognormal,8.023880,0.7,,
PARAM_VOLUME_CANCER_PROG,3018.0,um3,lognormal,8.012350,0.7,,
PARAM_VOLUME_CANCER_SEN,4570.0,um3,lognormal,8.427268,0.7,,
PARAM_VOLUME_TCELL_EFF,713.0,um3,lognormal,6.569481,0.7,,
PARAM_VOLUME_TCELL_CYT,711.0,um3,lognormal,6.566672,0.7,,
PARAM_VOLUME_TCELL_SUP,260.0,um3,lognormal,5.560682,0.7,,
PARAM_VOLUME_TREG_REG,561.0,um3,lognormal,6.329721,0.7,,
PARAM_VOLUME_TREG_TH,555.0,um3,lognormal,6.318968,0.7,,
PARAM_VOLUME_TREG_TFH,550.0,um3,lognormal,6.309918,0.7,,
PARAM_VOLUME_MAC_M1,3346.0,um3,lognormal,8.115521,0.7,,
PARAM_VOLUME_MAC_M2,3746.0,um3,lognormal,8.228444,0.7,,
PARAM_VOLUME_FIB_QUIESCENT,1771.0,um3,lognormal,7.479300,0.7,,
PARAM_VOLUME_FIB_MYCAF,3313.0,um3,lognormal,8.105609,0.7,,
PARAM_VOLUME_FIB_ICAF,2197.0,um3,lognormal,7.694848,0.7,,
PARAM_VOLUME_FIB_FRC,2500.0,um3,lognormal,7.824046,0.7,,
PARAM_VOLUME_MDSC,491.0,um3,lognormal,6.196444,0.7,,
PARAM_VOLUME_BCELL_NAIVE,276.0,um3,lognormal,5.620401,0.7,,
PARAM_VOLUME_BCELL_ACT,622.0,um3,lognormal,6.432940,0.7,,
PARAM_VOLUME_BCELL_PLASMA,1442.0,um3,lognormal,7.273786,0.7,,
PARAM_VOLUME_DC_IMMATURE,794.0,um3,lognormal,6.677083,0.7,,
PARAM_VOLUME_DC_MATURE,1415.0,um3,lognormal,7.254885,0.7,,
PARAM_VOLUME_VAS_PHALANX,1742.0,um3,lognormal,7.462789,0.7,,
PARAM_VOLUME_VAS_TIP,1701.0,um3,lognormal,7.438972,0.7,,
PARAM_ECM_DENSITY_CAP,1000.0,nmol/mL,lognormal,6.907755,0.7,,
PARAM_ECM_CROSSLINK_RATE,1e-6,1/s,lognormal,-13.815511,0.7,,
PARAM_ECM_CROSSLINK_RESISTANCE,5.0,,lognormal,1.609438,0.7,,
PARAM_ECM_BASELINE,10.0,nmol/mL,lognormal,2.302585,0.7,,
PARAM_ECM_POROSITY_TCELL,0.4,,lognormal,-0.916291,0.9,,
PARAM_ECM_POROSITY_TREG,0.35,,lognormal,-1.049822,0.9,,
PARAM_ECM_POROSITY_TFH,0.35,,lognormal,-1.049822,0.9,,
PARAM_ECM_POROSITY_MDSC,0.2,,lognormal,-1.609438,0.9,,
PARAM_ECM_POROSITY_MAC,0.3,,lognormal,-1.203973,0.9,,
PARAM_ECM_POROSITY_FIB,0.05,,lognormal,-2.995732,1.0,,
PARAM_ECM_POROSITY_BCELL,0.35,,lognormal,-1.049822,0.9,,
PARAM_ECM_POROSITY_DC,0.3,,lognormal,-1.203973,0.9,,
PARAM_ECM_POROSITY_VAS_TIP,0.2,,lognormal,-1.609438,1.0,,
PARAM_VAS_ECM_COMPRESS_K,200.0,nmol/mL,lognormal,5.298317,0.7,,
PARAM_ECM_YAP_EC50,800.0,nmol/mL,lognormal,6.684612,0.4,,
PARAM_ECM_STRESS_DEPOSIT,1.0,,lognormal,0.000000,0.7,,
PARAM_ECM_STRESS_DECAY,1.51e-2,1/s,lognormal,-4.193063,0.7,,
PARAM_ECM_ORIENT_RATE,0.001,,lognormal,-6.907755,1.0,,
PARAM_ECM_ORIENT_TRACTION_W,0.5,,lognormal,-0.693147,0.9,,
PARAM_ECM_ORIENT_STRESS_W,0.3,,lognormal,-1.203973,0.9,,
