step,total_ms,pde_ms,qsp_ms,abm_ms
0,3771.02,1354.29,129.644,2287.09
1,4173.88,1351.1,12.6111,2810.17
2,4107.31,1344.55,10.2381,2752.52
3,3928.23,1342.49,13.7686,2571.97
4,3944.11,1338.71,20.1676,2585.23
5,3960.04,1339.69,12.8865,2607.46
6,3914.07,1335.33,13.2749,2565.47
7,3998.69,1337.35,13.3591,2647.98
8,4013.62,1335.72,20.5569,2657.34
9,4038.63,1358.13,12.545,2667.96
10,3967.73,1347.2,14.8778,2605.66
11,4014.81,1342.92,14.0796,2657.81
12,4023.14,1340.71,19.7449,2662.69
13,4039.94,1337.3,14.8176,2687.82
14,4049.08,1338.52,15.6064,2694.95
15,4058.88,1337.98,15.7752,2705.13
16,4082.9,1335.9,20.4701,2726.52
17,4091.66,1353.11,14.2512,2724.29
18,4078.77,1346.32,15.8498,2716.6
19,4075.14,1342.96,14.6947,2717.48
20,4126.13,1338.77,19.6974,2767.66
21,4090.55,1337.36,16.59,2736.6
22,4160.74,1336.92,16.2488,2807.57
