area_mm2,density_cd4_t,density_cd8_t,density_b_cell,density_dc_candidate,density_macrophage,density_mdsc,density_fibroblast,density_endothelial,septa_frac_cd4_t,septa_dist_median_cd4_t,septa_frac_cd8_t,septa_dist_median_cd8_t,septa_frac_b_cell,septa_dist_median_b_cell,septa_frac_dc_candidate,septa_dist_median_dc_candidate,septa_frac_macrophage,septa_dist_median_macrophage,septa_frac_mdsc,septa_dist_median_mdsc,septa_frac_fibroblast,septa_dist_median_fibroblast,septa_frac_endothelial,septa_dist_median_endothelial,nn_cd4_t_to_cd4_t,nn_cd4_t_to_cd8_t,nn_cd4_t_to_b_cell,nn_cd4_t_to_dc_candidate,nn_cd4_t_to_macrophage,nn_cd4_t_to_fibroblast,nn_cd8_t_to_cd4_t,nn_cd8_t_to_cd8_t,nn_cd8_t_to_b_cell,nn_cd8_t_to_dc_candidate,nn_cd8_t_to_macrophage,nn_cd8_t_to_fibroblast,nn_b_cell_to_cd4_t,nn_b_cell_to_cd8_t,nn_b_cell_to_b_cell,nn_b_cell_to_dc_candidate,nn_b_cell_to_macrophage,nn_b_cell_to_fibroblast,nn_dc_candidate_to_cd4_t,nn_dc_candidate_to_cd8_t,nn_dc_candidate_to_b_cell,nn_dc_candidate_to_dc_candidate,nn_dc_candidate_to_macrophage,nn_dc_candidate_to_fibroblast,nn_macrophage_to_cd4_t,nn_macrophage_to_cd8_t,nn_macrophage_to_b_cell,nn_macrophage_to_dc_candidate,nn_macrophage_to_macrophage,nn_macrophage_to_fibroblast,nn_fibroblast_to_cd4_t,nn_fibroblast_to_cd8_t,nn_fibroblast_to_b_cell,nn_fibroblast_to_dc_candidate,nn_fibroblast_to_macrophage,nn_fibroblast_to_fibroblast,donor,region,roi,nn_cd4_t_to_mdsc,nn_cd8_t_to_mdsc,nn_b_cell_to_mdsc,nn_dc_candidate_to_mdsc,nn_macrophage_to_mdsc,nn_mdsc_to_cd4_t,nn_mdsc_to_cd8_t,nn_mdsc_to_b_cell,nn_mdsc_to_dc_candidate,nn_mdsc_to_macrophage,nn_mdsc_to_mdsc,nn_cd4_t_to_endothelial,nn_cd8_t_to_endothelial,nn_b_cell_to_endothelial,nn_dc_candidate_to_endothelial,nn_macrophage_to_endothelial,nn_endothelial_to_cd4_t,nn_endothelial_to_cd8_t,nn_endothelial_to_b_cell,nn_endothelial_to_dc_candidate,nn_endothelial_to_macrophage,nn_endothelial_to_endothelial,nn_mdsc_to_endothelial,nn_endothelial_to_mdsc,nn_mdsc_to_fibroblast,nn_fibroblast_to_mdsc,nn_fibroblast_to_endothelial,nn_endothelial_to_fibroblast
0.99500394,3.0150634418544913,282.4109423870374,6.0301268837089825,61.30628998437466,72.3615226045078,1.0050211472848305,677.3842532699757,0.0,,,,,,,,,,,,,,,,,245.62822392719553,26.947005874060086,121.8692451175325,65.36735995438384,31.32888245694823,14.910204757990856,192.57325593790765,17.012282245850262,143.15363080940415,48.36816225314176,37.259606193841364,52.584327492232354,176.02268704590134,29.644193805808357,175.79855726451308,45.72202093833498,38.04913895418946,15.818726053587318,256.4244723928004,22.557465784041305,159.30033061265587,35.048908132842826,51.28720291261736,22.432287377523675,219.12090397536798,22.646191986786267,123.47136434389665,47.63638266086424,33.98780538492178,27.869296585918658,295.99068932325093,74.4989046739652,232.01077527869256,74.09578675705127,94.91377805560401,13.396938811807445,HPAP-004,Head of pancreas,ROI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99161625,5.042273162240271,422.5424909957347,36.30436676812995,150.25974023476007,166.39501435392893,6.050727794688325,0.0,0.0,0.0,278.7758956581433,0.014319809069212411,304.253184042501,0.027777777777777776,248.6408024000512,0.0,303.0264014900352,0.06060606060606061,278.0287754891569,0.16666666666666666,167.5907709050694,,,,,98.93495345276105,41.53734602712541,75.07049700704599,14.369111772985038,14.1918592421393,,216.43014843609402,17.652384978058617,76.41867033191741,41.16845964842778,39.59584663214386,,225.0828496547488,21.31013676800604,84.29187439361883,48.58166318481575,42.17522977377311,,219.4727144940068,22.332225581993953,84.92469780844378,33.309204759235655,29.241065995349828,,220.39575692126053,23.665992088665064,78.27572188611994,27.174743302019216,22.887759431291077,,,,,,,,HPAP-004,Head of pancreas,ROI3,84.7949273280663,225.04415241283988,194.3877046292977,218.11780185604232,208.90079605926672,132.0518187104192,20.492177817365253,79.49370961755318,43.5383482720368,62.63827996218971,131.6745589389471,,,,,,,,,,,,,,,,,
0.99349177,13.085161254248103,97.63543397400508,212.38223266510383,236.53945344217726,152.99573158813166,1.0065508657113926,0.0,118.77300215394432,0.07692307692307693,255.64232826353307,0.030927835051546393,230.15212360523637,0.004739336492890996,348.11061460403647,0.04680851063829787,268.1193763979023,0.1118421052631579,237.82624078923658,,,,,0.0,405.1401393778657,108.04681467553257,32.03269439832273,55.92384836009982,39.990670256999636,28.3185461272842,,143.40598083022414,41.147196305243696,45.96852372135207,32.59201825750756,40.87767572902072,,136.15150524211452,53.67011008533871,16.61252759486006,45.25609772566823,46.63004501690207,,128.79519751280142,51.99083135240417,47.88439711531906,21.827951770051857,35.84992638813825,,124.6831788168576,53.145707295166595,54.59004806009952,26.511792033384843,33.82071131412718,,,,,,,,HPAP-004,Tail of pancreas,ROI1,,,,,,,,,,,,250.6779996824859,309.3531174618722,21.72517925332693,290.54207902606106,269.0593459685298,143.85448719459666,50.18865940661527,14.772812728407441,49.65256362744019,48.926467552837686,12.381806227718185,,,,,,
0.99244463,5.03806441840819,32.24361227781242,4.030451534726552,45.34257976567371,30.22838651044914,302.28386510449144,0.0,52.39586995144518,0.2,61.26989472816156,0.5625,15.083021164397232,0.25,172.66648291352055,0.044444444444444446,185.60711193270586,0.03333333333333333,174.99907599522794,0.22,102.39735989377319,,,0.0,148.34745321078668,53.92557517975669,41.478997069530934,227.4823137237575,51.480630106390514,99.86039832223932,,147.75142734703502,28.706065183913793,170.0185397437367,119.332131451923,79.02484220844448,,302.3602898448277,201.79915487995575,417.7300957389508,66.47631021549427,75.18494524842713,,499.9912570212183,132.74241428943532,230.90011461519248,57.11877510779663,69.54441585047789,,467.1664351708929,103.10475323479699,210.9631624233635,54.17593685390948,86.90936520766945,,,,,,,,HPAP-005,Body of pancreas,ROI1,13.302563811124314,13.215039452758722,18.624501553070132,25.08099477137184,21.01188243913559,180.6051246895342,79.05625412734034,164.25178378419753,65.4365582518586,64.9216040956702,16.959780076789528,194.78224345517225,311.59609872681625,87.66421547371066,110.63309329615737,113.54522995467066,440.19825631165963,226.3915818852284,217.4937401005718,103.91029807106989,88.44340753435065,17.72563626387106,150.75646151800163,56.63604307155477,,,,
0.99422055,1.0058130413249726,5.029065206624863,2.0116260826499452,44.2557738182988,2.0116260826499452,370.13919920758997,0.0,376.1740774555398,,,0.0,54.56189146281496,0.0,56.89027854181421,0.022727272727272728,139.3801805866774,0.0,134.27002658581858,0.07880434782608696,123.37007641734921,,,0.17914438502673796,93.98137929009748,,,,,,,,253.10998191475394,403.9462341675685,72.70081940141655,130.38996915985902,,,260.0884349274723,628.4864061851903,81.24489040182424,230.18132027794766,,,221.4947863212954,360.17485494141044,52.161103006047874,331.2865993018444,,,62.668266096357726,230.18132027794766,98.30200593848483,967.4566872431649,,,,,,,,HPAP-005,Body of pancreas,ROI2,,21.247610322875495,19.561142865351346,23.033650729975278,19.137293909079144,,190.75664422190238,349.98540691913877,62.616192297917245,351.2263293688578,18.254551952399336,,48.045373925936126,18.2393478119952,21.300271280363187,40.58448040197345,,248.89137445330942,332.7725763899581,71.06457199265611,399.39837410956295,20.633287812994936,23.67541676186314,26.21001266446925,,,,
0.9964226,0.0,2.0071805099862137,1.0035902549931068,85.30517167441408,24.086166119834562,175.6282946237937,0.0,462.65510755182225,,,0.0,129.07693306085343,,,0.023529411764705882,113.14592347937243,0.125,133.78380833990593,0.10285714285714286,109.5673308974897,,,0.14316702819956617,113.3225485064645,,,,,,,,519.5815032641779,,34.285104861169415,155.88657494368928,,,,,,,,,355.7496649383204,,36.95862863661866,103.6474440761171,,,304.05849227590886,,50.7551460456248,84.52746587730182,,,,,,,,HPAP-005,Body of pancreas,ROI3,,23.56544381785004,,35.6468330027338,43.10060436560448,,455.2623765949687,,50.224372693968505,141.52014145709973,29.299193631387887,,39.44305170781229,,23.273292548340525,20.097260717762442,,421.21392658679423,,61.40181937144112,116.88844141721583,16.62685985353062,20.78262213724899,33.30034917959438,,,,
0.99616736,0.0,10.038473838944313,10.038473838944313,120.46168606733175,63.24238518534917,33.12696366851623,1024.9281789562144,0.0,,,0.1,370.92113367045334,0.0,330.1807081334136,0.09166666666666666,263.1472600965117,0.14285714285714285,245.93698379869588,0.0,310.84562084739105,0.10479921645445642,279.47450688747983,,,,,,,,,,130.5898544439933,154.73099779290354,44.001846489790495,35.79943167236891,18.035170078907246,,111.520988281532,164.70031225663035,44.92254792628191,80.37320121953479,15.835442162731148,,148.74154583351964,153.49830658234117,42.3751262761749,60.048848937996496,15.08334225691371,,170.9293789943239,135.40807392532608,40.16278957787507,46.42773115973413,16.10938349729756,,165.8166290661147,155.7333522545775,44.529278966437346,63.23096984004002,13.219892799421102,HPAP-005,Head of pancreas,ROI1,,108.42500602547173,61.618894742902135,82.59212792840793,92.18447555438034,,191.81352845328917,134.34319312905174,40.86845647464855,56.195801208352655,80.3558255233084,,,,,,,,,,,,,,17.714870315546822,88.87794871159048,,
0.98001677,2.040781408388651,5.101953520971627,5.101953520971627,6.122344225165952,12.244688450331903,188.77228027595018,0.0,0.0,0.0,283.95058798386356,0.0,115.91807451816995,0.0,213.0539837693724,0.3333333333333333,32.48576492476487,0.16666666666666666,189.8367274185286,0.07567567567567568,198.82907232092595,,,,,589.0968223111967,209.44602932895378,227.405926551938,374.4782704729488,132.0935101913599,,311.04845576315205,302.315477487127,159.97932771698294,492.98236570415594,136.67568801639953,,280.27149606500376,159.97932771698294,101.85901236404649,261.22035572571883,154.8917889708501,,537.4958136835428,206.93419585002226,181.99926864434326,140.33963221096164,115.61946502996275,,210.10909543276415,184.35906237233206,219.88400473143133,343.9907135797363,113.51793081142165,,,,,,,,HPAP-005,Tail of pancreas,ROI1,27.545472677772402,32.54068744518665,28.968419686423523,55.31961568361049,35.934694139137406,305.7065357813068,215.13955413772902,190.91823143671456,212.45392602528256,138.14186551674325,30.297063446541905,,,,,,,,,,,,,,,,,
0.9801602,2.0404828184546444,6.121448455363933,1.0202414092273222,0.0,5.1012070461366115,149.97548715641636,0.0,87.74076119354972,0.0,170.27378485979327,0.16666666666666666,155.7264137065784,,,,,0.0,114.33722053644648,0.061224489795918366,120.65239326262865,,,0.23255813953488372,102.36469131417755,421.94567278204704,222.30002911481648,,,294.88650216349765,,420.9915813672916,208.3617555601011,,,149.68880666349133,,,,,,,,,,,,,,366.4482609231717,219.55397622986024,,,369.0659317920795,,,,,,,,HPAP-005,Tail of pancreas,ROI2,50.58590966558587,30.05548064860662,,,14.162708239295434,345.7308176652816,241.08627257852012,,,198.79017507703136,34.298051330198824,90.6942826343878,68.81132879044821,,,39.3052569994412,339.0980774093713,259.2205840159702,,,174.1126372937869,39.2782921292929,41.12593478229073,32.70164383810165,,,,
0.97944975,14.293739943672394,37.77631270827704,45.94416410466127,35.73434985918099,27.566498462796762,2.0419628490960564,0.0,0.0,0.2857142857142857,121.862836185079,0.21621621621621623,67.11929677819934,0.044444444444444446,166.13849644197458,0.08571428571428572,98.35141076771599,0.25925925925925924,102.25947388873072,0.0,193.47590011563597,,,,,62.38790981431858,40.14286578885399,54.613319619793145,99.76564571753147,99.92360856827463,,78.09972406225388,60.52357478392116,59.408351456030054,71.50380965391642,76.87583268783774,,130.75114693572263,92.26020799922817,30.29483964964113,97.40034848851701,88.95673413448247,,179.16858195592482,89.26303477056071,124.68425815992988,77.94435996710193,96.11870353403937,,214.58506870959317,89.0589127986686,146.077487327653,80.62723074670369,83.84165957273424,,,,,,,,HPAP-006,Body of pancreas,ROI4,414.76959059482397,312.96387841497943,451.1720657826687,342.3940928340784,346.4663698970201,130.16723327503368,193.5447447774221,77.32849613194865,125.53374877030281,177.9013489806486,788.4182455261282,,,,,,,,,,,,,,,,,
